Player,Age,Pos,Date,Tm,Opp,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Stephen Curry,28-327,G,2/4/17,GSW,SAC,1,42,11,20,0.55,3,6,0.5,8,14,0.571,5,6,0.833,0,4,4,9,3,0,3,2,35,31.7
Lou Williams,30-043,G,12/9/16,LAL,PHO,0,35,10,19,0.526,4,7,0.571,6,12,0.5,9,11,0.818,0,5,5,2,1,0,2,2,35,26
Karl-Anthony Towns,21-116,C-F,3/11/17,MIN,MIL,1,40,14,21,0.667,11,16,0.688,3,5,0.6,4,6,0.667,4,10,14,1,1,2,4,4,35,28.4
Stephen Curry,28-296,G,1/4/17,GSW,POR,1,36,12,25,0.48,7,12,0.583,5,13,0.385,6,8,0.75,1,6,7,5,1,0,5,1,35,23.1
Kristaps Porzingis,21-106,F-C,11/16/16,NYK,DET,1,40,13,22,0.591,10,15,0.667,3,7,0.429,6,7,0.857,4,3,7,3,1,1,1,2,35,30.1
LeBron James,31-341,F-G,12/5/16,CLE,TOR,1,42,12,26,0.462,10,19,0.526,2,7,0.286,8,9,0.889,3,5,8,7,2,0,1,2,34,28.9
Stephen Curry,28-257,G,11/26/16,GSW,MIN,1,37,13,19,0.684,9,11,0.818,4,8,0.5,4,4,1,1,7,8,6,2,0,6,4,34,27.3
LeBron James,31-356,F-G,12/20/16,CLE,MIL,1,47,12,25,0.48,7,16,0.438,5,9,0.556,5,6,0.833,3,9,12,7,1,1,2,2,34,29.5
Anthony Davis,23-285,F-C,12/21/16,NOP,OKC,1,36,14,26,0.538,13,24,0.542,1,2,0.5,5,7,0.714,2,12,14,2,1,2,2,5,34,25.4
Anthony Davis,23-246,F-C,11/12/16,NOP,LAL,1,35,13,26,0.5,13,24,0.542,0,2,0,8,11,0.727,1,7,8,2,0,2,1,0,34,24.4
George Hill,30-303,G,3/3/17,UTA,BRK,1,32,10,12,0.833,7,9,0.778,3,3,1,11,12,0.917,0,2,2,7,0,0,4,4,34,29.1
Harrison Barnes,24-160,F,11/6/16,DAL,MIL,1,48,13,26,0.5,11,21,0.524,2,5,0.4,6,7,0.857,3,5,8,2,2,0,1,0,34,26.6
C.J. McCollum,25-082,G,12/10/16,POR,IND,1,37,12,22,0.545,5,11,0.455,7,11,0.636,3,3,1,1,3,4,4,0,3,3,1,34,26.5
Kawhi Leonard,25-202,F,1/17/17,SAS,MIN,1,39,12,17,0.706,10,14,0.714,2,3,0.667,8,9,0.889,1,6,7,5,1,0,1,4,34,30.9
Giannis Antetokounmpo,22-108,F-G,3/24/17,MIL,ATL,1,36,13,22,0.591,12,19,0.632,1,3,0.333,7,9,0.778,4,9,13,5,2,3,1,2,34,34.3
Kemba Walker,26-291,G,2/23/17,CHO,DET,1,42,11,19,0.579,8,13,0.615,3,6,0.5,9,9,1,1,6,7,6,2,0,0,3,34,32.6
Kyrie Irving,24-339,G,2/25/17,CLE,CHI,1,35,13,25,0.52,11,15,0.733,2,10,0.2,6,7,0.857,0,9,9,7,0,1,2,2,34,26.8
DeMar DeRozan,27-096,G,11/11/16,TOR,CHO,1,36,14,26,0.538,14,25,0.56,0,1,0,6,7,0.857,0,3,3,3,2,0,1,1,34,24.6
DeMar DeRozan,27-101,G,11/16/16,TOR,GSW,1,38,8,18,0.444,7,14,0.5,1,4,0.25,17,17,1,1,5,6,4,1,0,5,3,34,24.4
Klay Thompson,27-040,G,3/20/17,GSW,OKC,1,32,12,21,0.571,5,6,0.833,7,15,0.467,3,3,1,1,5,6,2,2,0,1,2,34,27.9
Kemba Walker,26-239,G,1/2/17,CHO,CHI,1,38,13,20,0.65,7,12,0.583,6,8,0.75,2,2,1,0,9,9,4,1,1,1,2,34,30.6
Giannis Antetokounmpo,21-359,F-G,11/29/16,MIL,CLE,1,35,13,19,0.684,12,17,0.706,1,2,0.5,7,10,0.7,1,11,12,5,5,2,6,4,34,31
Paul George,26-240,F,12/28/16,IND,WAS,1,37,10,20,0.5,4,10,0.4,6,10,0.6,8,8,1,0,3,3,4,1,0,0,5,34,26.7
DeMar DeRozan,27-131,G,12/16/16,TOR,ATL,1,37,15,26,0.577,15,26,0.577,0,0,,4,6,0.667,0,5,5,4,2,1,3,3,34,23.8
Otto Porter,23-159,F,11/9/16,WAS,BOS,1,38,14,19,0.737,11,14,0.786,3,5,0.6,3,3,1,7,7,14,4,3,3,0,2,34,40.4
Dwyane Wade,34-323,G,12/5/16,CHI,POR,1,36,11,23,0.478,10,20,0.5,1,3,0.333,11,13,0.846,2,2,4,3,1,2,4,3,34,22.8
Carmelo Anthony,32-235,F,1/19/17,NYK,WAS,1,35,13,27,0.481,10,20,0.5,3,7,0.429,5,7,0.714,1,9,10,2,1,0,1,2,34,23.5
Isaiah Thomas,27-320,G,12/23/16,BOS,OKC,1,34,12,22,0.545,10,14,0.714,2,8,0.25,8,9,0.889,0,2,2,10,1,0,5,3,34,25.4
John Wall,26-203,G,3/28/17,WAS,LAL,1,37,14,25,0.56,13,21,0.619,1,4,0.25,5,5,1,0,3,3,14,4,0,3,3,34,32.6
C.J. McCollum,25-173,G,3/11/17,POR,WAS,1,42,13,23,0.565,8,14,0.571,5,9,0.556,3,3,1,0,0,0,6,0,0,0,0,34,27.3
Goran Dragic,30-220,G,12/12/16,MIA,WAS,1,31,14,23,0.609,12,18,0.667,2,5,0.4,4,4,1,2,3,5,5,1,0,3,4,34,25.7
James Harden,27-123,G,12/27/16,HOU,DAL,1,30,9,16,0.563,5,9,0.556,4,7,0.571,12,12,1,2,3,5,11,0,1,7,2,34,29.3
Anthony Davis,23-332,F-C,2/6/17,NOP,PHO,1,40,12,21,0.571,11,19,0.579,1,2,0.5,9,11,0.818,2,7,9,1,1,5,2,3,34,28.8
