Player,Age,Pos,Date,Tm,Opp,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Kentavious Caldwell-Pope,23-360,G,2/12/17,DET,TOR,1,41,8,22,0.364,6,10,0.6,2,12,0.167,3,3,1,0,0,0,2,0,0,1,2,21,8.4
Marcus Morris,27-132,F,1/12/17,DET,GSW,1,34,9,17,0.529,8,11,0.727,1,6,0.167,2,2,1,1,4,5,3,1,0,2,1,21,15.3
Devin Booker,20-106,G,2/13/17,PHO,NOP,1,36,9,19,0.474,7,13,0.538,2,6,0.333,1,1,1,0,1,1,3,1,1,5,4,21,8.8
Jonas Valanciunas,24-276,C,2/6/17,TOR,LAC,1,32,9,13,0.692,9,13,0.692,0,0,,3,4,0.75,3,9,12,2,0,1,1,1,21,20.6
Paul George,26-310,F,3/8/17,IND,DET,1,29,7,12,0.583,4,7,0.571,3,5,0.6,4,4,1,0,8,8,2,0,0,1,2,21,17.4
Terrence Ross,25-354,F-G,1/24/17,TOR,SAS,0,30,6,10,0.6,3,3,1,3,7,0.429,6,8,0.75,0,1,1,0,1,2,3,3,21,14.1
Marc Gasol,31-280,C,11/4/16,MEM,LAC,1,37,7,18,0.389,6,14,0.429,1,4,0.25,6,6,1,1,9,10,4,1,2,2,2,21,17
Stephen Curry,29-012,G,3/26/17,GSW,MEM,1,36,8,18,0.444,3,6,0.5,5,12,0.417,0,0,,0,1,1,11,4,0,5,1,21,18.2
Andre Drummond,23-187,C,2/13/17,DET,MIL,1,34,8,16,0.5,8,16,0.5,0,0,,5,9,0.556,5,7,12,0,3,0,4,3,21,14.8
Russell Westbrook,28-058,G,1/9/17,OKC,CHI,1,33,9,18,0.5,8,11,0.727,1,7,0.143,2,3,0.667,0,9,9,14,1,0,4,2,21,20.3
Elfrid Payton,22-343,G,1/30/17,ORL,MIN,1,30,9,17,0.529,7,12,0.583,2,5,0.4,1,2,0.5,0,4,4,3,3,0,1,5,21,15.6
Bradley Beal,23-176,G,12/21/16,WAS,CHI,1,37,7,17,0.412,6,10,0.6,1,7,0.143,6,8,0.75,0,0,0,5,2,0,2,2,21,13.8
Harrison Barnes,24-284,F,3/10/17,DAL,BRK,1,37,7,15,0.467,5,12,0.417,2,3,0.667,5,5,1,1,6,7,0,0,0,3,1,21,12.4
Jrue Holiday,26-280,G,3/19/17,NOP,MIN,1,35,8,16,0.5,4,11,0.364,4,5,0.8,1,2,0.5,0,4,4,7,1,0,2,1,21,17.3
Jamal Crawford,36-319,G,2/2/17,LAC,GSW,0,34,7,11,0.636,2,3,0.667,5,8,0.625,2,3,0.667,0,2,2,4,0,1,4,2,21,15
Reggie Jackson,26-322,G,3/4/17,DET,PHI,1,25,9,14,0.643,6,10,0.6,3,4,0.75,0,0,,1,3,4,2,0,1,3,2,21,14.7
Michael Carter-Williams,25-119,G,2/6/17,CHI,SAC,1,31,8,12,0.667,7,10,0.7,1,2,0.5,4,4,1,0,6,6,4,2,1,0,1,21,22.7
Terrence Jones,24-347,F,12/21/16,NOP,OKC,0,34,9,17,0.529,9,16,0.563,0,1,0,3,5,0.6,0,2,2,1,1,1,1,0,21,13.9
Evan Fournier,24-135,G-F,3/13/17,ORL,SAC,1,30,8,18,0.444,4,7,0.571,4,11,0.364,1,1,1,3,2,5,0,1,0,3,3,21,11.1
Ish Smith,28-268,G,3/30/17,DET,BRK,1,32,9,18,0.5,6,14,0.429,3,4,0.75,0,0,,0,6,6,5,0,1,0,1,21,17.6
Dario Saric,22-325,F,2/27/17,PHI,GSW,1,35,6,15,0.4,6,9,0.667,0,6,0,9,10,0.9,3,4,7,7,1,0,2,4,21,18.1
Nicolas Batum,28-080,F-G,3/4/17,CHO,DEN,1,35,7,11,0.636,3,5,0.6,4,6,0.667,3,3,1,0,2,2,8,0,0,2,2,21,19.5
Tony Parker,34-320,G,4/2/17,SAS,UTA,1,30,7,15,0.467,7,15,0.467,0,0,,7,9,0.778,0,5,5,5,0,0,4,3,21,12.3
Karl-Anthony Towns,21-140,C-F,4/4/17,MIN,GSW,1,28,8,10,0.8,7,9,0.778,1,1,1,4,5,0.8,2,4,6,4,2,2,3,2,21,21.8
Paul Zipser,23-053,G-F,4/12/17,CHI,BRK,0,28,8,13,0.615,3,6,0.5,5,7,0.714,0,0,,0,6,6,2,0,0,0,3,21,17.1
Clint Capela,22-314,F-C,3/28/17,HOU,GSW,1,30,9,10,0.9,9,10,0.9,0,0,,3,4,0.75,3,4,7,0,0,1,2,4,21,17.6
Victor Oladipo,24-183,G,11/3/16,OKC,GSW,1,30,8,13,0.615,4,7,0.571,4,6,0.667,1,4,0.25,0,3,3,0,0,0,0,2,21,14
LeBron James,31-324,F-G,11/18/16,CLE,DET,1,28,9,14,0.643,8,11,0.727,1,3,0.333,2,3,0.667,0,3,3,3,0,1,2,1,21,15.7
Jeremy Lamb,24-316,G-F,4/11/17,CHO,ATL,0,33,7,18,0.389,6,11,0.545,1,7,0.143,6,6,1,2,3,5,2,2,0,3,1,21,13.5
Klay Thompson,26-360,G,2/2/17,GSW,LAC,1,33,9,19,0.474,6,13,0.462,3,6,0.5,0,0,,3,4,7,2,0,0,2,2,21,13.2
Blake Griffin,27-229,F,10/31/16,LAC,PHO,1,32,4,7,0.571,3,6,0.5,1,1,1,12,14,0.857,0,11,11,5,0,1,5,5,21,17.4
Darren Collison,29-092,G,11/23/16,SAC,OKC,1,31,7,12,0.583,4,7,0.571,3,5,0.6,4,4,1,0,0,0,6,0,0,4,0,21,15.6
Kawhi Leonard,25-154,F,11/30/16,SAS,DAL,1,31,5,16,0.313,3,11,0.273,2,5,0.4,9,12,0.75,1,6,7,2,2,0,2,1,21,14.1
Giannis Antetokounmpo,22-088,F-G,3/4/17,MIL,TOR,1,35,8,13,0.615,8,13,0.615,0,0,,5,6,0.833,2,8,10,4,0,1,1,2,21,20.2
Channing Frye,33-328,C-F,4/10/17,CLE,MIA,1,33,6,10,0.6,3,5,0.6,3,5,0.6,6,6,1,1,6,7,0,1,0,2,4,21,16.3
Channing Frye,33-182,C-F,11/15/16,CLE,TOR,0,20,7,10,0.7,2,2,1,5,8,0.625,2,2,1,1,2,3,1,0,1,0,2,21,18.7
Damian Lillard,26-213,G,2/13/17,POR,ATL,1,41,6,21,0.286,3,12,0.25,3,9,0.333,6,6,1,1,5,6,4,1,0,3,2,21,10.9
T.J. Warren,23-216,F,4/9/17,PHO,DAL,1,29,8,8,1,6,6,1,2,2,1,3,3,1,0,7,7,0,2,0,0,1,21,22.3
Norman Powell,23-282,G,3/3/17,TOR,WAS,0,25,7,12,0.583,5,8,0.625,2,4,0.5,5,5,1,1,5,6,1,1,0,0,4,21,17.7
DeMarcus Cousins,26-130,C-F,12/21/16,SAC,UTA,1,31,5,18,0.278,4,15,0.267,1,3,0.333,10,13,0.769,1,7,8,3,0,1,3,2,21,11
Khris Middleton,25-201,F-G,3/1/17,MIL,DEN,0,31,7,12,0.583,4,9,0.444,3,3,1,4,5,0.8,1,4,5,5,2,0,3,3,21,18.2
Markieff Morris,27-149,F,1/29/17,WAS,NOP,1,37,9,20,0.45,6,17,0.353,3,3,1,0,0,,3,5,8,1,0,0,0,3,21,13.7
Norman Powell,23-245,G,1/25/17,TOR,MEM,1,33,9,21,0.429,7,17,0.412,2,4,0.5,1,4,0.25,3,2,5,2,1,0,1,3,21,11.6
Harrison Barnes,24-297,F,3/23/17,DAL,LAC,1,38,9,18,0.5,8,16,0.5,1,2,0.5,2,2,1,0,2,2,0,2,0,2,2,21,11.8
Ersan Ilyasova,29-174,F,11/5/16,PHI,CLE,0,28,8,13,0.615,4,7,0.571,4,6,0.667,1,2,0.5,2,2,4,0,0,0,0,3,21,15.5
Nikola Vucevic,26-030,C,11/23/16,ORL,PHO,1,29,10,15,0.667,10,15,0.667,0,0,,1,2,0.5,3,11,14,2,1,1,0,2,21,21.8
LaMarcus Aldridge,31-227,F-C,3/3/17,SAS,NOP,1,40,10,19,0.526,10,19,0.526,0,0,,1,4,0.25,5,9,14,0,0,3,2,3,21,15.6
Frank Kaminsky,23-243,F-C,12/3/16,CHO,MIN,1,31,8,16,0.5,5,9,0.556,3,7,0.429,2,4,0.5,2,7,9,5,1,1,1,3,21,18.7
Andrew Wiggins,22-048,F-G,4/12/17,MIN,HOU,1,30,7,17,0.412,5,12,0.417,2,5,0.4,5,7,0.714,0,2,2,3,1,0,4,2,21,10
Klay Thompson,26-324,G,12/28/16,GSW,TOR,1,35,8,18,0.444,3,11,0.273,5,7,0.714,0,0,,1,5,6,2,1,2,2,3,21,14.4
Shabazz Muhammad,24-122,F-G,3/15/17,MIN,BOS,0,31,7,14,0.5,7,9,0.778,0,5,0,7,8,0.875,2,1,3,1,0,1,0,0,21,16.7
Anthony Morrow,31-060,G,11/26/16,OKC,DET,0,26,8,12,0.667,5,6,0.833,3,6,0.5,2,2,1,0,1,1,1,0,0,0,1,21,16.4
Brandon Jennings,27-130,G,1/31/17,NYK,WAS,1,38,5,16,0.313,3,10,0.3,2,6,0.333,9,11,0.818,2,3,5,2,4,0,4,2,21,13.9
Karl-Anthony Towns,21-000,C-F,11/15/16,MIN,CHO,1,37,9,23,0.391,6,13,0.462,3,10,0.3,0,0,,3,5,8,4,0,1,3,2,21,11.8
Andrew Wiggins,21-307,F-G,12/26/16,MIN,ATL,1,28,7,14,0.5,3,8,0.375,4,6,0.667,3,4,0.75,1,3,4,2,1,0,0,2,21,16.8
Aaron Gordon,21-202,F,4/6/17,ORL,BRK,1,33,9,15,0.6,9,12,0.75,0,3,0,3,4,0.75,2,4,6,2,3,0,1,4,21,18.1
LaMarcus Aldridge,31-189,F-C,1/24/17,SAS,TOR,1,32,6,14,0.429,6,14,0.429,0,0,,9,11,0.818,1,6,7,2,1,0,1,4,21,15.1
George Hill,30-239,G,12/29/16,UTA,PHI,1,29,8,10,0.8,6,8,0.75,2,2,1,3,6,0.5,1,7,8,6,3,1,2,1,21,24.3
Seth Curry,26-190,G,3/1/17,DAL,ATL,1,35,7,13,0.538,2,5,0.4,5,8,0.625,2,2,1,2,2,4,3,2,0,2,1,21,18.4
Anthony Davis,23-313,F-C,1/18/17,NOP,ORL,1,29,9,17,0.529,9,17,0.529,0,0,,3,4,0.75,2,11,13,4,0,1,2,1,21,18.1
Kristaps Porzingis,21-118,F-C,11/28/16,NYK,OKC,1,39,9,20,0.45,6,14,0.429,3,6,0.5,0,0,,1,4,5,2,2,5,2,2,21,16.6
Jeff Teague,28-287,G,3/24/17,IND,DEN,1,33,9,16,0.563,7,11,0.636,2,5,0.4,1,2,0.5,0,2,2,8,2,1,3,5,21,16.9
Norman Powell,23-235,G,1/15/17,TOR,NYK,0,24,7,12,0.583,6,9,0.667,1,3,0.333,6,6,1,1,0,1,0,1,0,2,2,21,14.3
Gorgui Dieng,26-363,C,1/15/17,MIN,DAL,1,31,10,12,0.833,10,11,0.909,0,1,0,1,3,0.333,5,3,8,0,1,0,0,1,21,20.8
Marcin Gortat,32-289,C-F,12/2/16,WAS,SAS,1,42,8,16,0.5,8,16,0.5,0,0,,5,6,0.833,6,12,18,2,2,2,2,6,21,20.8
Reggie Jackson,26-327,G,3/9/17,DET,CLE,1,31,8,16,0.5,7,13,0.538,1,3,0.333,4,4,1,1,1,2,5,1,0,3,3,21,14.3
Markieff Morris,27-218,F,4/8/17,WAS,MIA,1,30,9,13,0.692,6,9,0.667,3,4,0.75,0,0,,2,3,5,0,1,0,2,3,21,15.6
James Harden,27-105,G,12/9/16,HOU,OKC,1,37,6,23,0.261,4,12,0.333,2,11,0.182,7,8,0.875,1,8,9,12,2,0,8,5,21,10.4
Jeff Teague,28-209,G,1/5/17,IND,BRK,1,31,9,13,0.692,7,11,0.636,2,2,1,1,1,1,0,7,7,15,1,1,3,0,21,26.8
Julius Randle,22-103,F,3/12/17,LAL,PHI,1,34,8,18,0.444,8,15,0.533,0,3,0,5,6,0.833,2,10,12,3,0,2,3,5,21,14.1
Tim Frazier,26-021,G,11/22/16,NOP,ATL,1,35,7,12,0.583,4,8,0.5,3,4,0.75,4,4,1,0,5,5,14,3,0,1,1,21,28.3
Tim Hardaway,25-024,G,4/9/17,ATL,CLE,1,37,7,15,0.467,6,11,0.545,1,4,0.25,6,8,0.75,1,8,9,4,0,0,0,1,21,18
Lou Williams,30-099,G,2/3/17,LAL,BOS,0,23,5,14,0.357,2,5,0.4,3,9,0.333,8,10,0.8,0,4,4,4,0,0,1,0,21,15.4
Stephen Curry,28-315,G,1/23/17,GSW,MIA,1,37,7,19,0.368,4,10,0.4,3,9,0.333,4,5,0.8,0,9,9,8,0,1,4,2,21,14.3
Terrence Jones,25-030,F,2/8/17,NOP,UTA,1,35,9,16,0.563,9,15,0.6,0,1,0,3,3,1,2,6,8,1,1,0,2,0,21,16.3
Channing Frye,33-291,C-F,3/4/17,CLE,MIA,0,23,9,12,0.75,6,7,0.857,3,5,0.6,0,1,0,0,4,4,0,2,1,2,2,21,16.9
Damian Lillard,26-187,G,1/18/17,POR,CHO,1,35,7,18,0.389,5,12,0.417,2,6,0.333,5,5,1,1,6,7,6,1,1,3,0,21,16.6
Patty Mills,28-212,G,3/11/17,SAS,GSW,1,21,8,13,0.615,3,6,0.5,5,7,0.714,0,0,,1,1,2,4,1,0,1,1,21,18.5
C.J. McCollum,25-183,G,3/21/17,POR,MIL,1,36,9,17,0.529,8,13,0.615,1,4,0.25,2,2,1,0,2,2,2,0,0,3,2,21,10.9
Goran Dragic,30-218,G,12/10/16,MIA,CHI,1,35,10,19,0.526,10,17,0.588,0,2,0,1,1,1,1,4,5,11,0,0,5,2,21,15.5
Kevin Durant,28-095,F-G,1/2/17,GSW,DEN,1,34,10,19,0.526,9,15,0.6,1,4,0.25,0,0,,0,3,3,2,1,1,2,2,21,12.9
Goran Dragic,30-230,G,12/22/16,MIA,LAL,1,36,6,15,0.4,3,9,0.333,3,6,0.5,6,7,0.857,0,2,2,7,0,0,3,2,21,14.2
Paul George,26-278,F,2/4/17,IND,DET,1,32,9,14,0.643,6,8,0.75,3,6,0.5,0,1,0,0,3,3,4,1,0,1,2,21,17.3
Deron Williams,32-191,G,1/3/17,DAL,WAS,1,32,7,13,0.538,3,6,0.5,4,7,0.571,3,3,1,0,1,1,6,0,0,5,4,21,12.6
Ersan Ilyasova,29-251,F,1/21/17,PHI,ATL,1,30,8,15,0.533,5,9,0.556,3,6,0.5,2,3,0.667,2,1,3,4,0,1,1,2,21,16.7
Aaron Gordon,21-168,F,3/3/17,ORL,MIA,1,32,9,17,0.529,8,13,0.615,1,4,0.25,2,2,1,4,6,10,1,0,1,2,0,21,16.7
Carmelo Anthony,32-302,F,3/27/17,NYK,DET,1,35,8,15,0.533,5,10,0.5,3,5,0.6,2,2,1,0,3,3,5,3,0,4,2,21,16.3
Russell Westbrook,28-047,G,12/29/16,OKC,MEM,1,23,6,19,0.316,4,13,0.308,2,6,0.333,7,10,0.7,2,3,5,0,2,0,6,3,21,6
Lou Williams,30-106,G,2/10/17,LAL,MIL,0,19,5,9,0.556,2,4,0.5,3,5,0.6,8,9,0.889,0,1,1,2,1,0,4,1,21,14.6
Tim Hardaway,24-325,G,2/4/17,ATL,ORL,1,27,8,14,0.571,5,8,0.625,3,6,0.5,2,2,1,0,5,5,2,2,0,1,0,21,18.3
Paul Millsap,31-350,F,1/25/17,ATL,CHI,1,36,8,14,0.571,5,9,0.556,3,5,0.6,2,3,0.667,0,6,6,2,0,1,4,5,21,11.9
Kyrie Irving,24-269,G,12/17/16,CLE,LAL,1,38,8,17,0.471,6,11,0.545,2,6,0.333,3,3,1,1,5,6,12,3,0,2,0,21,23.9
Evan Fournier,24-015,G-F,11/13/16,ORL,OKC,1,37,7,10,0.7,4,6,0.667,3,4,0.75,4,4,1,0,2,2,5,0,0,3,2,21,17.1
Dennis Schroder,23-144,G,2/6/17,ATL,UTA,1,30,8,15,0.533,8,13,0.615,0,2,0,5,5,1,0,2,2,2,0,0,4,3,21,10.5
Zach Randolph,35-166,F,12/29/16,MEM,OKC,0,25,10,17,0.588,9,14,0.643,1,3,0.333,0,0,,2,6,8,2,0,0,1,2,21,15.9
Nik Stauskas,23-043,G,11/19/16,PHI,PHO,0,26,8,9,0.889,3,3,1,5,6,0.833,0,0,,0,2,2,0,0,1,2,2,21,16.4
Lou Williams,30-096,G,1/31/17,LAL,DEN,0,24,7,11,0.636,3,6,0.5,4,5,0.8,3,3,1,1,4,5,7,2,0,1,0,21,23.9
Isaiah Thomas,27-324,G,12/27/16,BOS,MEM,1,34,6,14,0.429,5,8,0.625,1,6,0.167,8,8,1,0,1,1,7,0,0,4,3,21,13.6
Nikola Jokic,22-044,C-F,4/4/17,DEN,NOP,1,34,10,18,0.556,10,16,0.625,0,2,0,1,2,0.5,4,8,12,4,0,0,1,2,21,18.2
Paul Millsap,31-343,F,1/18/17,ATL,DET,1,27,7,17,0.412,6,12,0.5,1,5,0.2,6,9,0.667,3,5,8,4,0,0,2,2,21,14.3
Danilo Gallinari,28-092,F,11/8/16,DEN,MEM,1,38,5,11,0.455,2,6,0.333,3,5,0.6,8,9,0.889,1,6,7,2,2,1,2,0,21,19.5
Kevin Love,28-140,F,1/25/17,CLE,SAC,1,39,7,16,0.438,3,7,0.429,4,9,0.444,3,6,0.5,4,12,16,5,1,0,4,3,21,17.1
Kentavious Caldwell-Pope,23-272,G,11/16/16,DET,NYK,1,37,9,22,0.409,6,13,0.462,3,9,0.333,0,0,,1,3,4,3,1,0,0,1,21,13.5
JaMychal Green,26-134,F,11/2/16,MEM,NOP,1,31,9,12,0.75,6,7,0.857,3,5,0.6,0,0,,2,4,6,2,1,0,1,4,21,18.6
Danilo Gallinari,28-124,F,12/10/16,DEN,ORL,1,33,5,8,0.625,3,5,0.6,2,3,0.667,9,10,0.9,0,6,6,3,0,0,1,3,21,18.7
Brook Lopez,28-233,C,11/20/16,BRK,POR,1,29,8,14,0.571,6,10,0.6,2,4,0.5,3,3,1,3,3,6,4,1,1,2,2,21,19.1
Trey Lyles,21-014,F,11/19/16,UTA,HOU,1,33,8,12,0.667,6,8,0.75,2,4,0.5,3,4,0.75,1,4,5,0,0,0,2,1,21,14.9
Brandon Knight,25-017,G,12/19/16,PHO,MIN,0,29,8,13,0.615,8,11,0.727,0,2,0,5,5,1,0,2,2,4,0,0,3,4,21,13.9
Isaiah Thomas,27-355,G,1/27/17,BOS,ORL,1,25,9,15,0.6,6,7,0.857,3,8,0.375,0,0,,0,3,3,8,2,0,2,4,21,19
Jabari Parker,21-283,F,12/23/16,MIL,WAS,1,32,9,15,0.6,8,12,0.667,1,3,0.333,2,2,1,4,4,8,3,2,2,1,1,21,22.2
Jeff Teague,28-188,G,12/15/16,IND,NOP,1,35,7,18,0.389,7,12,0.583,0,6,0,7,9,0.778,0,6,6,10,0,1,1,3,21,17.7
Goran Dragic,30-285,G,2/15/17,MIA,HOU,1,33,8,14,0.571,8,9,0.889,0,5,0,5,7,0.714,0,1,1,5,0,0,1,3,21,15.2
Tim Frazier,25-362,G,10/28/16,NOP,GSW,1,34,10,18,0.556,9,15,0.6,1,3,0.333,0,1,0,3,3,6,10,0,0,3,5,21,17
Jamal Crawford,36-257,G,12/2/16,LAC,NOP,0,29,9,15,0.6,7,11,0.636,2,4,0.5,1,1,1,0,1,1,1,0,1,1,1,21,14.4
Bojan Bogdanovic,27-191,G-F,10/26/16,BRK,BOS,1,23,9,17,0.529,6,9,0.667,3,8,0.375,0,0,,2,3,5,0,1,0,2,2,21,13.2
Klay Thompson,26-349,G,1/22/17,GSW,ORL,1,34,7,14,0.5,0,5,0,7,9,0.778,0,0,,0,5,5,1,0,1,3,1,21,13.5
Serge Ibaka,27-044,F-C,11/1/16,ORL,PHI,1,32,8,12,0.667,7,10,0.7,1,2,0.5,4,4,1,2,2,4,0,0,2,0,3,21,18
Dwyane Wade,34-344,G,12/26/16,CHI,IND,1,33,8,19,0.421,8,15,0.533,0,4,0,5,5,1,1,2,3,5,2,2,2,1,21,16.7
Lance Thomas,28-313,F,3/3/17,NYK,PHI,1,42,8,16,0.5,5,11,0.455,3,5,0.6,2,2,1,2,4,6,0,2,0,1,1,21,16.2
Robin Lopez,28-291,C,1/17/17,CHI,DAL,1,36,10,15,0.667,10,15,0.667,0,0,,1,1,1,5,0,5,0,0,1,3,2,21,14.9
Derrick Rose,28-088,G,12/31/16,NYK,HOU,1,41,8,23,0.348,7,20,0.35,1,3,0.333,4,5,0.8,2,3,5,7,2,0,0,0,21,16.9
Giannis Antetokounmpo,21-351,F-G,11/21/16,MIL,ORL,1,39,6,13,0.462,6,11,0.545,0,2,0,9,9,1,2,9,11,10,5,3,4,4,21,26.9
T.J. Warren,23-143,F,1/26/17,PHO,DEN,1,41,9,16,0.563,8,14,0.571,1,2,0.5,2,2,1,1,7,8,0,0,1,0,4,21,15.3
Channing Frye,33-273,C-F,2/14/17,CLE,MIN,1,33,7,15,0.467,3,4,0.75,4,11,0.364,3,3,1,2,8,10,1,0,2,0,1,21,18.8
Serge Ibaka,27-077,F-C,12/4/16,ORL,DET,1,34,9,11,0.818,7,7,1,2,4,0.5,1,2,0.5,1,6,7,4,3,4,1,0,21,26.6
Paul George,26-198,F,11/16/16,IND,CLE,1,37,8,18,0.444,5,9,0.556,3,9,0.333,2,2,1,0,11,11,5,2,1,3,1,21,17.7
Dennis Schroder,23-165,G,2/27/17,ATL,BOS,1,30,9,14,0.643,9,11,0.818,0,3,0,3,3,1,0,4,4,5,1,0,2,1,21,18.1
Kemba Walker,26-309,G,3/13/17,CHO,CHI,1,38,9,24,0.375,6,12,0.5,3,12,0.25,0,0,,0,4,4,10,0,0,2,3,21,12.8
DeAndre Jordan,28-131,C,11/29/16,LAC,BRK,1,45,9,13,0.692,9,12,0.75,0,1,0,3,4,0.75,5,18,23,1,0,1,3,3,21,21.2
Dirk Nowitzki,38-296,F,4/11/17,DAL,DEN,1,27,9,20,0.45,8,16,0.5,1,4,0.25,2,2,1,1,7,8,1,1,3,1,2,21,15.4
Marcus Morris,27-093,F,12/4/16,DET,ORL,1,35,7,12,0.583,2,3,0.667,5,9,0.556,2,2,1,0,5,5,1,2,0,0,1,21,19.2
Eric Bledsoe,26-326,G,10/30/16,PHO,GSW,1,36,7,11,0.636,6,8,0.75,1,3,0.333,6,9,0.667,0,5,5,6,1,0,0,2,21,20.8
Paul George,26-328,F,3/26/17,IND,PHI,1,35,7,17,0.412,6,10,0.6,1,7,0.143,6,8,0.75,0,8,8,3,0,0,3,1,21,12.2
Marcin Gortat,32-306,C-F,12/19/16,WAS,IND,1,43,10,15,0.667,10,15,0.667,0,0,,1,3,0.333,4,9,13,1,0,0,3,2,21,16.1
Harrison Barnes,24-222,F,1/7/17,DAL,ATL,1,30,9,15,0.6,7,11,0.636,2,4,0.5,1,2,0.5,2,2,4,0,2,0,0,3,21,16.5
Kent Bazemore,27-149,G-F,11/27/16,ATL,LAL,1,27,8,16,0.5,3,8,0.375,5,8,0.625,0,0,,0,1,1,4,1,0,0,1,21,16.7
Wilson Chandler,29-302,F,3/8/17,DEN,WAS,1,34,10,16,0.625,9,11,0.818,1,5,0.2,0,1,0,0,3,3,3,2,0,1,3,21,16.2
Goran Dragic,30-256,G,1/17/17,MIA,HOU,1,37,8,15,0.533,7,10,0.7,1,5,0.2,4,5,0.8,2,6,8,8,1,0,6,3,21,15.9
Yogi Ferrell,23-335,G,4/9/17,DAL,PHO,1,32,8,16,0.5,5,10,0.5,3,6,0.5,2,2,1,2,2,4,4,0,0,2,2,21,15
Pau Gasol,36-169,F-C,12/22/16,SAS,LAC,1,32,6,12,0.5,5,10,0.5,1,2,0.5,8,8,1,5,4,9,2,0,2,2,3,21,19.3
Wilson Chandler,29-247,F,1/12/17,DEN,IND,1,32,8,13,0.615,6,8,0.75,2,5,0.4,3,3,1,1,7,8,4,2,0,1,2,21,20.9
Carmelo Anthony,32-157,F,11/2/16,NYK,HOU,1,31,8,15,0.533,7,11,0.636,1,4,0.25,4,5,0.8,1,6,7,1,1,0,5,3,21,11.3
Dario Saric,22-239,F,12/3/16,PHI,BOS,0,27,7,12,0.583,4,6,0.667,3,6,0.5,4,4,1,3,8,11,2,1,0,3,0,21,19.3
Kristaps Porzingis,21-140,F-C,12/20/16,NYK,IND,1,33,7,15,0.467,3,8,0.375,4,7,0.571,3,4,0.75,0,8,8,1,0,3,3,2,21,14.3
Karl-Anthony Towns,21-106,C-F,3/1/17,MIN,UTA,1,35,9,16,0.563,7,13,0.538,2,3,0.667,1,1,1,3,12,15,3,0,1,4,2,21,17.1
Paul Millsap,31-280,F,11/16/16,ATL,MIL,1,38,8,11,0.727,7,8,0.875,1,3,0.333,4,4,1,0,8,8,3,2,1,2,3,21,20.5
Evan Fournier,24-013,G-F,11/11/16,ORL,UTA,1,38,7,16,0.438,5,12,0.417,2,4,0.5,5,6,0.833,1,3,4,4,3,0,3,4,21,15
Rudy Gobert,24-175,C,12/18/16,UTA,MEM,1,38,9,9,1,9,9,1,0,0,,3,7,0.429,2,10,12,0,1,3,3,5,21,19.2
Ty Lawson,29-149,G,4/1/17,SAC,MIN,0,25,5,8,0.625,5,7,0.714,0,1,0,11,14,0.786,0,2,2,11,1,0,1,3,21,23.3
Kawhi Leonard,25-174,F,12/20/16,SAS,HOU,1,36,5,14,0.357,5,11,0.455,0,3,0,11,13,0.846,0,5,5,4,5,0,7,1,21,14.3
Paul George,26-217,F,12/5/16,IND,GSW,1,31,4,12,0.333,4,10,0.4,0,2,0,13,13,1,1,9,10,3,1,0,2,2,21,17.9
Dario Saric,22-329,F,3/3/17,PHI,NYK,1,27,7,14,0.5,6,9,0.667,1,5,0.2,6,10,0.6,1,9,10,4,0,0,1,5,21,15.6
Damian Lillard,26-253,G,3/25/17,POR,MIN,1,29,8,13,0.615,5,7,0.714,3,6,0.5,2,3,0.667,0,6,6,8,2,0,3,0,21,21.1
Troy Daniels,25-259,G,3/31/17,MEM,DAL,0,34,7,13,0.538,0,1,0,7,12,0.583,0,0,,0,3,3,2,0,0,1,0,21,16
Paul Millsap,31-360,F,2/4/17,ATL,ORL,1,28,7,14,0.5,6,11,0.545,1,3,0.333,6,8,0.75,1,4,5,4,0,0,0,3,21,16.7
Eric Bledsoe,26-336,G,11/9/16,PHO,DET,1,35,8,15,0.533,7,13,0.538,1,2,0.5,4,4,1,1,10,11,8,0,0,5,2,21,17.2
Jameer Nelson,34-292,G,11/27/16,DEN,PHO,1,28,8,13,0.615,4,6,0.667,4,7,0.571,1,1,1,0,2,2,3,0,0,2,5,21,13.8
Goran Dragic,30-304,G,3/6/17,MIA,CLE,1,34,8,17,0.471,6,12,0.5,2,5,0.4,3,3,1,0,1,1,6,2,0,4,3,21,13.6
Dennis Schroder,23-130,G,1/23/17,ATL,LAC,1,34,7,18,0.389,6,14,0.429,1,4,0.25,6,6,1,2,4,6,7,0,0,2,3,21,15.5
Brandon Knight,25-024,G,12/26/16,PHO,HOU,0,24,6,12,0.5,4,7,0.571,2,5,0.4,7,8,0.875,0,5,5,1,0,0,1,2,21,15
Buddy Hield,23-095,G,3/22/17,SAC,MIL,1,36,8,16,0.5,6,10,0.6,2,6,0.333,3,5,0.6,1,3,4,2,1,0,1,0,21,15.2
Russell Westbrook,28-062,G,1/13/17,OKC,MIN,1,36,7,23,0.304,6,13,0.462,1,10,0.1,6,7,0.857,3,8,11,12,2,0,10,3,21,11
Kawhi Leonard,25-240,F,2/24/17,SAS,LAC,1,31,7,16,0.438,7,12,0.583,0,4,0,7,10,0.7,1,2,3,6,1,0,3,5,21,12.9
