,Player,Age,Pos,Date,Tm,@,Opp,WL,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB
4451,Darren Collison,29-130,G,12/31/16,SAC,,MEM,L,1,39,8,16,0.5,8,14,0.571,0,2,0,0,0,,1,3,4
4452,Mike Conley,29-161,G,3/21/17,MEM,@,NOP,L,1,31,6,14,0.429,4,8,0.5,2,6,0.333,2,2,1,0,6,6
4453,Mike Conley,29-101,G,1/20/17,MEM,,SAC,W,1,34,6,13,0.462,4,8,0.5,2,5,0.4,2,2,1,1,7,8
4454,Mike Conley,29-045,G,11/25/16,MEM,,MIA,L,0,23,5,15,0.333,4,11,0.364,1,4,0.25,5,5,1,2,2,4
4455,Mike Conley,29-026,G,11/6/16,MEM,,POR,L,1,31,5,11,0.455,4,6,0.667,1,5,0.2,5,5,1,0,4,4
4456,Mike Conley,29-151,G,3/11/17,MEM,,ATL,L,1,32,5,12,0.417,4,5,0.8,1,7,0.143,5,5,1,0,1,1
4457,DeMarcus Cousins,26-171,C-F,1/31/17,SAC,@,HOU,L,1,25,5,16,0.313,4,12,0.333,1,4,0.25,5,7,0.714,1,6,7
4458,DeMarcus Cousins,26-119,C-F,12/10/16,SAC,@,UTA,L,1,34,7,22,0.318,6,16,0.375,1,6,0.167,1,3,0.333,3,7,10
4459,Robert Covington,26-079,F,3/3/17,PHI,,NYK,W,1,36,3,9,0.333,1,4,0.25,2,5,0.4,8,9,0.889,1,3,4
4460,Robert Covington,26-095,F,3/19/17,PHI,,BOS,W,1,36,7,15,0.467,5,8,0.625,2,7,0.286,0,0,,1,7,8
4461,Robert Covington,25-363,F,12/11/16,PHI,@,DET,W,1,34,6,9,0.667,4,5,0.8,2,4,0.5,2,2,1,0,7,7
4462,Robert Covington,26-009,F,12/23/16,PHI,@,PHO,L,1,33,6,11,0.545,5,5,1,1,6,0.167,3,3,1,1,1,2
4463,Allen Crabbe,24-238,G-F,12/3/16,POR,,MIA,W,0,28,5,11,0.455,1,5,0.2,4,6,0.667,2,2,1,0,3,3
4464,Allen Crabbe,24-343,G-F,3/18/17,POR,@,ATL,W,0,29,5,10,0.5,1,2,0.5,4,8,0.5,2,2,1,0,3,3
4465,Allen Crabbe,24-216,G-F,11/11/16,POR,,SAC,W,0,37,6,10,0.6,4,5,0.8,2,5,0.4,2,3,0.667,1,6,7
4466,Jamal Crawford,36-230,G,11/5/16,LAC,@,SAS,W,0,26,6,10,0.6,3,5,0.6,3,5,0.6,1,1,1,0,3,3
4467,Jae Crowder,26-172,F,12/25/16,BOS,@,NYK,W,1,34,5,9,0.556,2,3,0.667,3,6,0.5,3,4,0.75,1,5,6
4468,Jae Crowder,26-242,F,3/5/17,BOS,@,PHO,L,1,33,6,10,0.6,4,5,0.8,2,5,0.4,2,3,0.667,0,10,10
4469,Jae Crowder,26-257,F,3/20/17,BOS,,WAS,W,1,38,5,12,0.417,2,4,0.5,3,8,0.375,3,4,0.75,4,5,9
4470,Jae Crowder,26-149,F,12/2/16,BOS,,SAC,W,1,37,6,12,0.5,3,7,0.429,3,5,0.6,1,1,1,0,3,3
4471,Jae Crowder,26-199,F,1/21/17,BOS,,POR,L,1,40,5,12,0.417,2,5,0.4,3,7,0.429,3,3,1,0,4,4
4472,Dante Cunningham,29-313,F,3/1/17,NOP,,DET,W,1,33,5,8,0.625,1,1,1,4,7,0.571,2,2,1,1,4,5
4473,Seth Curry,26-160,G,1/30/17,DAL,,CLE,W,1,38,7,17,0.412,5,11,0.455,2,6,0.333,0,0,,1,4,5
4474,Seth Curry,26-125,G,12/26/16,DAL,@,NOP,L,0,31,5,9,0.556,3,3,1,2,6,0.333,4,5,0.8,0,1,1
4475,Seth Curry,26-170,G,2/9/17,DAL,,UTA,W,1,43,6,12,0.5,5,8,0.625,1,4,0.25,3,3,1,1,4,5
4476,Seth Curry,26-135,G,1/5/17,DAL,,PHO,L,0,26,6,9,0.667,5,6,0.833,1,3,0.333,3,4,0.75,0,1,1
4477,Seth Curry,26-133,G,1/3/17,DAL,,WAS,W,0,22,5,8,0.625,1,3,0.333,4,5,0.8,2,2,1,0,1,1
4478,Stephen Curry,28-249,G,11/18/16,GSW,@,BOS,W,1,36,7,20,0.35,5,10,0.5,2,10,0.2,0,0,,0,3,3
4479,Troy Daniels,25-164,G,12/26/16,MEM,@,ORL,L,0,20,5,12,0.417,1,4,0.25,4,8,0.5,2,3,0.667,1,3,4
4480,Anthony Davis,23-311,F-C,1/16/17,NOP,@,IND,L,1,23,6,11,0.545,6,11,0.545,0,0,,4,5,0.8,0,3,3
4481,Anthony Davis,23-322,F-C,1/27/17,NOP,,SAS,W,1,33,6,11,0.545,6,10,0.6,0,1,0,4,5,0.8,5,17,22
4482,Matthew Dellavedova,26-137,G,1/23/17,MIL,,HOU,W,1,31,5,6,0.833,3,3,1,2,3,0.667,4,5,0.8,0,3,3
4483,Matthew Dellavedova,26-184,G,3/11/17,MIL,,MIN,W,1,28,5,12,0.417,1,5,0.2,4,7,0.571,2,2,1,0,1,1
4484,Luol Deng,31-240,F,12/12/16,LAL,@,SAC,L,1,26,7,11,0.636,5,8,0.625,2,3,0.667,0,1,0,1,3,4
4485,DeMar DeRozan,27-117,G,12/2/16,TOR,,LAL,W,1,29,6,18,0.333,6,17,0.353,0,1,0,4,4,1,1,3,4
4486,Boris Diaw,34-283,F-C,1/24/17,UTA,@,DEN,L,0,24,7,12,0.583,5,7,0.714,2,5,0.4,0,0,,0,1,1
4487,Gorgui Dieng,27-006,C,1/24/17,MIN,@,PHO,W,1,34,8,11,0.727,8,11,0.727,0,0,,0,0,,4,5,9
4488,Gorgui Dieng,26-323,C,12/6/16,MIN,,SAS,L,1,33,7,9,0.778,7,9,0.778,0,0,,2,5,0.4,3,5,8
4489,Gorgui Dieng,27-038,C,2/25/17,MIN,@,HOU,L,1,36,7,10,0.7,7,9,0.778,0,1,0,2,4,0.5,4,9,13
4490,Gorgui Dieng,26-330,C,12/13/16,MIN,@,CHI,W,1,37,7,12,0.583,6,10,0.6,1,2,0.5,1,2,0.5,2,5,7
4491,Goran Dragic,30-195,G,11/17/16,MIA,,MIL,W,1,35,5,14,0.357,4,11,0.364,1,3,0.333,5,6,0.833,2,4,6
4492,Goran Dragic,30-319,G,3/21/17,MIA,,PHO,W,1,28,6,15,0.4,4,10,0.4,2,5,0.4,2,3,0.667,1,3,4
4493,Goran Dragic,30-245,G,1/6/17,MIA,@,LAL,L,1,22,7,13,0.538,5,10,0.5,2,3,0.667,0,0,,0,3,3
4494,Goran Dragic,30-208,G,11/30/16,MIA,@,DEN,W,1,34,6,17,0.353,6,14,0.429,0,3,0,4,6,0.667,0,3,3
4495,Goran Dragic,30-278,G,2/8/17,MIA,@,MIL,W,1,34,7,13,0.538,7,11,0.636,0,2,0,2,3,0.667,2,2,4
4496,Goran Dragic,30-274,G,2/4/17,MIA,,PHI,W,1,28,6,11,0.545,4,9,0.444,2,2,1,2,3,0.667,0,4,4
4497,Goran Dragic,30-173,G,10/26/16,MIA,@,ORL,W,1,29,7,15,0.467,7,14,0.5,0,1,0,2,2,1,3,3,6
4498,Andre Drummond,23-077,C,10/26/16,DET,@,TOR,L,1,24,7,11,0.636,7,11,0.636,0,0,,2,6,0.333,1,5,6
4499,Andre Drummond,23-140,C,12/28/16,DET,,MIL,L,1,26,7,13,0.538,7,13,0.538,0,0,,2,6,0.333,4,5,9
4500,Andre Drummond,23-107,C,11/25/16,DET,,LAC,W,1,26,8,11,0.727,8,11,0.727,0,0,,0,2,0,4,6,10
4501,Andre Drummond,23-148,C,1/5/17,DET,,CHO,W,1,25,7,15,0.467,7,15,0.467,0,0,,2,3,0.667,2,6,8
4502,Andre Drummond,23-180,C,2/6/17,DET,,PHI,W,1,26,8,14,0.571,8,13,0.615,0,1,0,0,0,,3,14,17
4503,Jared Dudley,31-131,F-G,11/18/16,PHO,@,IND,W,0,32,6,10,0.6,4,6,0.667,2,4,0.5,2,2,1,2,3,5
4504,Kevin Durant,28-069,F-G,12/7/16,GSW,@,LAC,W,1,32,5,17,0.294,4,12,0.333,1,5,0.2,5,6,0.833,0,8,8
4505,Wayne Ellington,29-105,G,2/11/17,MIA,@,PHI,L,1,36,4,14,0.286,1,4,0.25,3,10,0.3,5,5,1,3,2,5
4506,Monta Ellis,31-069,G,1/3/17,IND,@,DET,W,0,20,6,6,1,6,6,1,0,0,,4,5,0.8,0,1,1
4507,Monta Ellis,31-140,G,3/15/17,IND,,CHO,W,0,27,7,13,0.538,5,8,0.625,2,5,0.4,0,0,,0,1,1
4508,Monta Ellis,31-121,G,2/24/17,IND,,MEM,W,0,24,7,10,0.7,5,7,0.714,2,3,0.667,0,0,,0,1,1
4509,Joel Embiid,22-264,C-F,12/5/16,PHI,,DEN,L,1,26,5,15,0.333,4,12,0.333,1,3,0.333,5,6,0.833,1,3,4
4510,James Ennis,26-124,F,11/2/16,MEM,,NOP,W,1,38,5,8,0.625,3,4,0.75,2,4,0.5,4,4,1,2,8,10
4511,James Ennis,26-120,F,10/29/16,MEM,@,NYK,L,1,27,5,7,0.714,3,4,0.75,2,3,0.667,4,5,0.8,1,3,4
4512,Tyreke Evans,27-173,G-F,3/11/17,SAC,,DEN,L,0,24,6,15,0.4,4,10,0.4,2,5,0.4,2,4,0.5,0,3,3
4513,Tyreke Evans,27-102,G-F,12/30/16,NOP,,NYK,W,0,18,5,11,0.455,3,6,0.5,2,5,0.4,4,4,1,0,5,5
4514,Derrick Favors,25-117,F-C,11/9/16,UTA,@,CHO,L,1,35,8,12,0.667,8,11,0.727,0,1,0,0,0,,2,8,10
4515,Derrick Favors,25-115,F-C,11/7/16,UTA,@,PHI,W,1,29,6,11,0.545,6,11,0.545,0,0,,4,8,0.5,3,11,14
4516,Raymond Felton,32-190,G,1/2/17,LAC,,PHO,W,1,37,5,13,0.385,5,11,0.455,0,2,0,6,8,0.75,0,4,4
4517,Raymond Felton,32-224,G,2/5/17,LAC,@,BOS,L,0,25,6,10,0.6,3,5,0.6,3,5,0.6,1,2,0.5,1,4,5
4518,Yogi Ferrell,23-302,G,3/7/17,DAL,,LAL,W,1,32,6,9,0.667,4,5,0.8,2,4,0.5,2,2,1,1,1,2
4519,Evan Fournier,24-018,G-F,11/16/16,ORL,,NOP,W,1,34,5,13,0.385,3,8,0.375,2,5,0.4,4,6,0.667,0,1,1
4520,Evan Fournier,24-034,G-F,12/2/16,ORL,@,PHI,W,1,30,4,11,0.364,3,9,0.333,1,2,0.5,7,8,0.875,0,4,4
4521,Randy Foye,33-125,G,1/27/17,BRK,@,CLE,L,1,30,6,12,0.5,2,4,0.5,4,8,0.5,0,0,,0,8,8
4522,Danilo Gallinari,28-084,F,10/31/16,DEN,@,TOR,L,1,37,3,11,0.273,1,6,0.167,2,5,0.4,8,8,1,1,1,2
4523,Danilo Gallinari,28-116,F,12/2/16,DEN,,HOU,L,1,35,6,11,0.545,4,8,0.5,2,3,0.667,2,2,1,2,3,5
4524,Danilo Gallinari,28-090,F,11/6/16,DEN,@,BOS,W,1,41,7,13,0.538,5,9,0.556,2,4,0.5,0,0,,1,2,3
4525,Danilo Gallinari,28-089,F,11/5/16,DEN,@,DET,L,1,29,5,14,0.357,3,7,0.429,2,7,0.286,4,5,0.8,1,2,3
4526,Marc Gasol,31-329,C,12/23/16,MEM,,HOU,W,1,34,5,14,0.357,5,13,0.385,0,1,0,6,6,1,1,4,5
4527,Marc Gasol,32-048,C,3/18/17,MEM,,SAS,W,1,39,6,14,0.429,5,11,0.455,1,3,0.333,3,3,1,0,5,5
4528,Pau Gasol,36-175,F-C,12/28/16,SAS,,PHO,W,1,29,6,12,0.5,6,10,0.6,0,2,0,4,5,0.8,2,8,10
4529,Pau Gasol,36-138,F-C,11/21/16,SAS,,DAL,W,1,28,7,13,0.538,6,12,0.5,1,1,1,1,2,0.5,0,8,8
4530,Pau Gasol,36-135,F-C,11/18/16,SAS,@,LAL,W,1,28,6,13,0.462,6,13,0.462,0,0,,4,4,1,0,5,5
4531,Rudy Gay,30-078,F,11/3/16,SAC,@,ORL,L,1,32,6,13,0.462,4,10,0.4,2,3,0.667,2,5,0.4,0,2,2
4532,Paul George,26-232,F,12/20/16,IND,@,NYK,L,1,36,6,16,0.375,6,13,0.462,0,3,0,4,4,1,1,4,5
4533,Paul George,26-216,F,12/4/16,IND,@,LAC,W,1,34,6,13,0.462,3,7,0.429,3,6,0.5,1,1,1,0,7,7
4534,Taj Gibson,31-136,F,11/7/16,CHI,,ORL,W,1,28,7,13,0.538,7,13,0.538,0,0,,2,2,1,2,9,11
4535,Taj Gibson,31-178,F,12/19/16,CHI,,DET,W,1,19,8,8,1,8,8,1,0,0,,0,0,,0,4,4
4536,Manu Ginobili,39-170,G,1/14/17,SAS,@,PHO,L,0,25,3,7,0.429,1,3,0.333,2,4,0.5,8,8,1,0,2,2
4537,Rudy Gobert,24-252,C,3/5/17,UTA,@,SAC,W,1,41,8,11,0.727,8,11,0.727,0,0,,0,2,0,5,18,23
4538,Rudy Gobert,24-267,C,3/20/17,UTA,@,IND,L,1,37,7,12,0.583,7,12,0.583,0,0,,2,6,0.333,5,9,14
4539,Rudy Gobert,24-144,C,11/17/16,UTA,,CHI,L,1,41,7,9,0.778,7,9,0.778,0,0,,2,2,1,5,8,13
4540,Rudy Gobert,24-156,C,11/29/16,UTA,,HOU,W,1,33,5,7,0.714,5,7,0.714,0,0,,6,8,0.75,4,10,14
4541,Rudy Gobert,24-173,C,12/16/16,UTA,,DAL,W,1,35,4,7,0.571,4,7,0.571,0,0,,8,10,0.8,3,7,10
4542,Rudy Gobert,24-155,C,11/28/16,UTA,@,MIN,W,1,34,5,10,0.5,5,10,0.5,0,0,,6,8,0.75,8,9,17
4543,Aaron Gordon,21-141,F,2/4/17,ORL,@,ATL,L,1,26,5,10,0.5,4,8,0.5,1,2,0.5,5,6,0.833,1,2,3
4544,Aaron Gordon,21-176,F,3/11/17,ORL,,CLE,L,1,31,6,12,0.5,6,11,0.545,0,1,0,4,4,1,2,3,5
4545,Eric Gordon,27-312,G,11/1/16,HOU,@,CLE,L,1,33,6,13,0.462,2,4,0.5,4,9,0.444,0,0,,0,2,2
4546,Eric Gordon,27-328,G,11/17/16,HOU,,POR,W,0,24,6,15,0.4,4,8,0.5,2,7,0.286,2,3,0.667,3,2,5
4547,Eric Gordon,27-325,G,11/14/16,HOU,,PHI,W,1,27,6,12,0.5,2,5,0.4,4,7,0.571,0,0,,0,1,1
4548,Marcin Gortat,32-301,C-F,12/14/16,WAS,,CHO,W,1,36,8,11,0.727,8,11,0.727,0,0,,0,0,,5,7,12
4549,Marcin Gortat,32-342,C-F,1/24/17,WAS,,BOS,W,1,33,7,8,0.875,7,8,0.875,0,0,,2,2,1,2,6,8
4550,Marcin Gortat,32-355,C-F,2/6/17,WAS,,CLE,L,1,38,6,13,0.462,6,13,0.462,0,0,,4,4,1,5,3,8
4551,Marcin Gortat,32-274,C-F,11/17/16,WAS,,NYK,W,1,31,7,12,0.583,7,12,0.583,0,0,,2,4,0.5,2,6,8
4552,Danny Green,29-154,G-F,11/23/16,SAS,@,CHO,W,1,30,6,12,0.5,2,5,0.4,4,7,0.571,0,0,,1,2,3
4553,Draymond Green,26-337,F,2/4/17,GSW,@,SAC,L,1,43,6,15,0.4,3,7,0.429,3,8,0.375,1,4,0.25,1,7,8
4554,Draymond Green,26-250,F,11/9/16,GSW,,DAL,W,1,35,6,11,0.545,2,5,0.4,4,6,0.667,0,1,0,1,9,10
4555,Draymond Green,26-296,F,12/25/16,GSW,@,CLE,L,1,32,7,9,0.778,7,7,1,0,2,0,2,2,1,0,4,4
4556,Draymond Green,26-245,F,11/4/16,GSW,@,LAL,L,1,34,6,10,0.6,6,7,0.857,0,3,0,4,6,0.667,2,7,9
4557,Gerald Green,31-016,G-F,2/11/17,BOS,@,UTA,W,0,23,7,8,0.875,5,5,1,2,3,0.667,0,0,,0,0,0
4558,JaMychal Green,26-165,F,12/3/16,MEM,,LAL,W,1,34,7,13,0.538,7,10,0.7,0,3,0,2,2,1,7,6,13
4559,JaMychal Green,26-162,F,11/30/16,MEM,@,TOR,L,1,34,5,11,0.455,5,9,0.556,0,2,0,6,7,0.857,3,2,5
4560,Jeff Green,30-154,F,1/29/17,ORL,@,TOR,W,0,27,6,8,0.75,4,5,0.8,2,3,0.667,2,4,0.5,1,2,3
4561,Jeff Green,30-096,F,12/2/16,ORL,@,PHI,W,0,23,6,13,0.462,4,9,0.444,2,4,0.5,2,2,1,1,5,6
4562,Jeff Green,30-107,F,12/13/16,ORL,@,ATL,W,0,31,6,14,0.429,5,10,0.5,1,4,0.25,3,3,1,1,3,4
4563,Blake Griffin,27-353,F,3/4/17,LAC,@,CHI,W,1,34,5,15,0.333,5,12,0.417,0,3,0,6,6,1,1,5,6
4564,Blake Griffin,27-256,F,11/27/16,LAC,@,IND,L,1,34,6,15,0.4,6,14,0.429,0,1,0,4,4,1,3,6,9
4565,Blake Griffin,27-357,F,3/8/17,LAC,@,MIN,L,1,36,5,11,0.455,3,7,0.429,2,4,0.5,4,4,1,0,4,4
4566,Justin Hamilton,26-282,C,1/8/17,BRK,,PHI,L,0,23,6,11,0.545,4,7,0.571,2,4,0.5,2,3,0.667,1,4,5
4567,Justin Hamilton,26-279,C,1/5/17,BRK,@,IND,L,0,22,6,9,0.667,2,4,0.5,4,5,0.8,0,0,,2,6,8
4568,Tim Hardaway,24-357,G,3/8/17,ATL,,BRK,W,0,29,5,11,0.455,4,9,0.444,1,2,0.5,5,5,1,1,5,6
4569,James Harden,27-119,G,12/23/16,HOU,@,MEM,L,1,36,6,13,0.462,4,7,0.571,2,6,0.333,2,3,0.667,1,6,7
4570,Montrezl Harrell,22-332,F-C,12/23/16,HOU,@,MEM,L,1,28,7,11,0.636,7,11,0.636,0,0,,2,2,1,2,6,8
4571,Montrezl Harrell,22-355,F-C,1/15/17,HOU,@,BRK,W,1,34,6,9,0.667,6,9,0.667,0,0,,4,6,0.667,2,6,8
4572,Gary Harris,22-120,G,1/12/17,DEN,,IND,W,1,34,6,11,0.545,5,10,0.5,1,1,1,3,3,1,0,5,5
4573,Gary Harris,22-094,G,12/17/16,DEN,,NYK,W,1,30,6,9,0.667,6,8,0.75,0,1,0,4,6,0.667,0,3,3
4574,Gary Harris,22-152,G,2/13/17,DEN,,GSW,W,1,32,6,12,0.5,2,5,0.4,4,7,0.571,0,2,0,1,1,2
4575,Gary Harris,22-150,G,2/11/17,DEN,@,CLE,L,1,29,6,11,0.545,3,6,0.5,3,5,0.6,1,2,0.5,0,3,3
4576,Gary Harris,22-149,G,2/10/17,DEN,@,NYK,W,1,34,6,10,0.6,3,4,0.75,3,6,0.5,1,1,1,2,5,7
4577,Joe Harris,25-049,G,10/26/16,BRK,@,BOS,L,0,25,6,15,0.4,2,6,0.333,4,9,0.444,0,0,,0,4,4
4578,Joe Harris,25-091,G,12/7/16,BRK,,DEN,W,0,24,6,8,0.75,4,5,0.8,2,3,0.667,2,2,1,1,1,2
4579,Tobias Harris,24-107,F,10/30/16,DET,,MIL,W,1,31,7,12,0.583,5,9,0.556,2,3,0.667,0,0,,1,4,5
4580,Tobias Harris,24-197,F,1/28/17,DET,@,MIA,L,0,28,7,11,0.636,7,11,0.636,0,0,,2,2,1,0,2,2
4581,Tobias Harris,24-210,F,2/10/17,DET,,SAS,L,0,33,7,12,0.583,7,11,0.636,0,1,0,2,2,1,0,5,5
4582,Spencer Hawes,28-310,C-F,3/4/17,MIL,,TOR,W,0,17,6,7,0.857,4,4,1,2,3,0.667,2,3,0.667,1,7,8
4583,Spencer Hawes,28-257,C-F,1/10/17,CHO,@,HOU,L,0,25,7,10,0.7,5,6,0.833,2,4,0.5,0,0,,0,5,5
4584,Gordon Hayward,26-290,F-G,1/7/17,UTA,@,MIN,W,1,32,4,13,0.308,3,9,0.333,1,4,0.25,7,7,1,0,2,2
4585,Gordon Hayward,26-288,F-G,1/5/17,UTA,@,TOR,L,1,34,6,12,0.5,4,8,0.5,2,4,0.5,2,2,1,2,2,4
4586,Gerald Henderson,29-005,G,12/14/16,PHI,,TOR,L,1,25,6,7,0.857,4,4,1,2,3,0.667,2,2,1,0,0,0
4587,Gerald Henderson,29-080,G,2/27/17,PHI,,GSW,L,1,25,4,11,0.364,1,7,0.143,3,4,0.75,5,5,1,1,2,3
4588,John Henson,26-037,C-F,2/3/17,MIL,@,DEN,L,1,31,7,12,0.583,7,12,0.583,0,0,,2,2,1,0,5,5
4589,Willy Hernangomez,22-253,C,2/4/17,NYK,,CLE,L,0,36,7,10,0.7,7,9,0.778,0,1,0,2,6,0.333,3,2,5
4590,Willy Hernangomez,22-250,C,2/1/17,NYK,@,BRK,W,0,25,7,12,0.583,7,12,0.583,0,0,,2,4,0.5,7,9,16
4591,Roy Hibbert,30-038,C,1/18/17,CHO,,POR,W,0,22,7,8,0.875,7,8,0.875,0,0,,2,2,1,2,4,6
4592,Buddy Hield,23-074,G,3/1/17,SAC,,BRK,L,0,26,6,11,0.545,2,5,0.4,4,6,0.667,0,0,,1,0,1
4593,Buddy Hield,22-353,G,12/4/16,NOP,@,OKC,L,0,15,6,12,0.5,2,5,0.4,4,7,0.571,0,0,,1,3,4
4594,Buddy Hield,23-068,G,2/23/17,SAC,,DEN,W,0,26,6,10,0.6,5,7,0.714,1,3,0.333,3,3,1,0,6,6
4595,Nene Hilario,34-169,F-C,3/1/17,HOU,@,LAC,W,0,22,6,7,0.857,6,7,0.857,0,0,,4,5,0.8,4,5,9
4596,Nene Hilario,34-067,F-C,11/19/16,HOU,,UTA,W,0,17,6,9,0.667,5,8,0.625,1,1,1,3,3,1,1,5,6
4597,George Hill,30-320,G,3/20/17,UTA,@,IND,L,1,38,7,17,0.412,7,10,0.7,0,7,0,2,2,1,2,4,6
4598,George Hill,30-269,G,1/28/17,UTA,,MEM,L,1,33,7,13,0.538,6,8,0.75,1,5,0.2,1,1,1,0,3,3
4599,Solomon Hill,25-315,F,1/27/17,NOP,,SAS,W,1,34,5,10,0.5,0,3,0,5,7,0.714,1,2,0.5,3,3,6
4600,Solomon Hill,25-358,F,3/11/17,NOP,@,CHO,W,1,43,7,11,0.636,5,6,0.833,2,5,0.4,0,0,,1,2,3
4601,Jrue Holiday,26-166,G,11/25/16,NOP,@,POR,L,0,29,6,13,0.462,4,9,0.444,2,4,0.5,2,4,0.5,0,4,4
4602,Jrue Holiday,26-186,G,12/15/16,NOP,,IND,W,1,36,7,12,0.583,7,11,0.636,0,1,0,2,3,0.667,2,5,7
4603,Jrue Holiday,26-245,G,2/12/17,NOP,@,SAC,L,1,40,6,14,0.429,5,10,0.5,1,4,0.25,3,3,1,2,4,6
4604,Justin Holiday,27-223,G,11/14/16,NYK,,DAL,W,0,25,6,7,0.857,4,4,1,2,3,0.667,2,2,1,0,4,4
4605,Rondae Hollis-Jefferson,22-053,F,2/25/17,BRK,@,GSW,L,1,21,6,13,0.462,6,11,0.545,0,2,0,4,4,1,4,6,10
4606,Rondae Hollis-Jefferson,21-362,F,12/30/16,BRK,@,WAS,L,0,29,6,13,0.462,6,13,0.462,0,0,,4,6,0.667,1,4,5
4607,Rondae Hollis-Jefferson,22-029,F,2/1/17,BRK,,NYK,L,1,30,6,11,0.545,6,10,0.6,0,1,0,4,4,1,3,5,8
4608,Rodney Hood,24-034,G-F,11/23/16,UTA,,DEN,W,1,29,7,15,0.467,5,8,0.625,2,7,0.286,0,0,,0,6,6
4609,Rodney Hood,24-046,G-F,12/5/16,UTA,@,LAL,W,1,31,5,17,0.294,3,9,0.333,2,8,0.25,4,4,1,1,4,5
4610,Al Horford,30-222,C-F,1/11/17,BOS,,WAS,W,1,33,7,12,0.583,5,6,0.833,2,6,0.333,0,0,,1,8,9
4611,Al Horford,30-253,C-F,2/11/17,BOS,@,UTA,W,1,34,6,9,0.667,4,5,0.8,2,4,0.5,2,3,0.667,0,9,9
4612,Al Horford,30-290,C-F,3/20/17,BOS,,WAS,W,1,36,6,11,0.545,6,10,0.6,0,1,0,4,7,0.571,2,7,9
4613,Dwight Howard,31-092,C,3/10/17,ATL,,TOR,W,1,34,6,9,0.667,6,9,0.667,0,0,,4,10,0.4,3,7,10
4614,Dwight Howard,31-020,C,12/28/16,ATL,,NYK,W,1,39,6,9,0.667,6,9,0.667,0,0,,4,6,0.667,7,15,22
4615,Dwight Howard,31-038,C,1/15/17,ATL,,MIL,W,1,32,6,8,0.75,6,8,0.75,0,0,,4,6,0.667,7,7,14
4616,Dwight Howard,31-048,C,1/25/17,ATL,@,CHI,W,1,34,6,10,0.6,6,10,0.6,0,0,,4,5,0.8,2,10,12
4617,Dwight Howard,31-046,C,1/23/17,ATL,,LAC,L,1,35,6,7,0.857,6,7,0.857,0,0,,4,5,0.8,1,11,12
4618,Serge Ibaka,27-099,F-C,12/26/16,ORL,,MEM,W,1,24,6,11,0.545,4,5,0.8,2,6,0.333,2,2,1,1,5,6
4619,Serge Ibaka,27-184,F-C,3/21/17,TOR,,CHI,W,1,26,7,13,0.538,5,10,0.5,2,3,0.667,0,0,,2,4,6
4620,Serge Ibaka,27-110,F-C,1/6/17,ORL,,HOU,L,1,33,8,17,0.471,8,16,0.5,0,1,0,0,2,0,5,7,12
4621,Serge Ibaka,27-128,F-C,1/24/17,ORL,,CHI,L,1,35,6,13,0.462,3,8,0.375,3,5,0.6,1,1,1,1,7,8
4622,Serge Ibaka,27-144,F-C,2/9/17,ORL,,PHI,L,1,35,6,14,0.429,4,10,0.4,2,4,0.5,2,2,1,2,1,3
4623,Serge Ibaka,27-182,F-C,3/19/17,TOR,,IND,W,1,24,7,11,0.636,5,8,0.625,2,3,0.667,0,0,,0,5,5
4624,Serge Ibaka,27-059,F-C,11/16/16,ORL,,NOP,W,1,30,7,13,0.538,5,9,0.556,2,4,0.5,0,0,,2,6,8
4625,Serge Ibaka,27-075,F-C,12/2/16,ORL,@,PHI,W,1,25,6,12,0.5,5,7,0.714,1,5,0.2,3,4,0.75,1,3,4
4626,Ersan Ilyasova,29-228,F,12/29/16,PHI,@,UTA,L,1,24,7,13,0.538,5,9,0.556,2,4,0.5,0,0,,4,8,12
4627,Ersan Ilyasova,29-241,F,1/11/17,PHI,,NYK,W,1,30,5,16,0.313,4,8,0.5,1,8,0.125,5,6,0.833,2,2,4
4628,Ersan Ilyasova,29-185,F,11/16/16,PHI,,WAS,W,1,26,5,10,0.5,1,2,0.5,4,8,0.5,2,2,1,1,3,4
4629,Joe Ingles,29-130,F-G,2/9/17,UTA,@,DAL,L,1,41,6,12,0.5,2,5,0.4,4,7,0.571,0,0,,1,4,5
4630,Brandon Ingram,19-082,F,11/23/16,LAL,@,GSW,L,1,34,6,12,0.5,4,8,0.5,2,4,0.5,2,2,1,0,3,3
4631,Brandon Ingram,19-184,F,3/5/17,LAL,,NOP,L,1,39,7,13,0.538,5,10,0.5,2,3,0.667,0,2,0,0,6,6
4632,Reggie Jackson,26-274,G,1/15/17,DET,@,LAL,W,1,28,6,16,0.375,5,14,0.357,1,2,0.5,3,3,1,2,1,3
4633,Reggie Jackson,26-237,G,12/9/16,DET,@,MIN,W,1,29,5,15,0.333,3,12,0.25,2,3,0.667,4,4,1,0,1,1
4634,LeBron James,31-337,F-G,12/1/16,CLE,,LAC,L,1,34,5,14,0.357,5,12,0.417,0,2,0,6,11,0.545,1,4,5
4635,LeBron James,32-074,F-G,3/14/17,CLE,,DET,W,1,28,6,12,0.5,6,10,0.6,0,2,0,4,5,0.8,0,11,11
4636,LeBron James,32-014,F-G,1/13/17,CLE,@,SAC,W,1,42,6,12,0.5,5,8,0.625,1,4,0.25,3,3,1,0,2,2
