,Player,Age,Pos,Date,Tm,@,Opp,WL,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB
41,Anthony Davis,23-336,F-C,2/10/17,NOP,@,MIN,W,1,36,16,22,0.727,14,19,0.737,2,3,0.667,8,11,0.727,2,11,13
42,DeMar DeRozan,27-226,G,3/21/17,TOR,,CHI,W,1,43,17,38,0.447,16,33,0.485,1,5,0.2,7,11,0.636,4,3,7
43,Marc Gasol,31-362,C,1/25/17,MEM,,TOR,W,1,38,14,25,0.56,9,15,0.6,5,10,0.5,9,10,0.9,0,7,7
44,James Harden,27-161,G,2/3/17,HOU,,CHI,W,1,44,13,33,0.394,8,20,0.4,5,13,0.385,11,14,0.786,1,11,12
45,Damian Lillard,26-112,G,11/4/16,POR,@,DAL,W,1,37,12,18,0.667,7,12,0.583,5,6,0.833,13,14,0.929,0,4,4
46,Russell Westbrook,28-039,G,12/21/16,OKC,@,NOP,W,1,34,12,26,0.462,10,19,0.526,2,7,0.286,16,18,0.889,1,9,10
47,Russell Westbrook,28-085,G,2/5/17,OKC,,POR,W,1,35,16,34,0.471,15,28,0.536,1,6,0.167,9,11,0.818,1,3,4
48,Giannis Antetokounmpo,22-066,F-G,2/10/17,MIL,,LAL,L,1,42,11,20,0.55,10,14,0.714,1,6,0.167,18,21,0.857,1,7,8
49,Bradley Beal,23-223,G,2/6/17,WAS,,CLE,L,1,45,16,28,0.571,10,14,0.714,6,14,0.429,3,3,1,0,5,5
50,Bradley Beal,23-173,G,12/18/16,WAS,,LAC,W,1,38,13,23,0.565,7,13,0.538,6,10,0.6,9,11,0.818,0,3,3
51,Eric Bledsoe,27-054,G,2/1/17,PHO,,LAC,L,1,40,13,22,0.591,11,18,0.611,2,4,0.5,13,15,0.867,0,4,4
52,Eric Bledsoe,27-050,G,1/28/17,PHO,,DEN,L,1,45,12,27,0.444,9,19,0.474,3,8,0.375,14,15,0.933,2,4,6
53,DeMarcus Cousins,26-220,C-F,3/21/17,NOP,,MEM,W,1,37,14,27,0.519,9,18,0.5,5,9,0.556,8,9,0.889,4,13,17
54,Anthony Davis,23-263,F-C,11/29/16,NOP,,LAL,W,1,41,14,27,0.519,13,23,0.565,1,4,0.25,12,14,0.857,6,10,16
55,DeMar DeRozan,27-156,G,1/10/17,TOR,,BOS,W,1,38,16,29,0.552,15,27,0.556,1,2,0.5,8,9,0.889,2,11,13
56,James Harden,27-160,G,2/2/17,HOU,,ATL,L,1,39,10,23,0.435,5,11,0.455,5,12,0.417,16,21,0.762,2,6,8
57,James Harden,27-203,G,3/17/17,HOU,@,NOP,L,1,40,12,21,0.571,8,11,0.727,4,10,0.4,13,14,0.929,2,12,14
