,PLAYER,POS,DATE,MP,PTS,GMSC
4697,Donatas Motiejunas,PF,4/10/16,19,8,6.7
4721,Donatas Motiejunas,PF,4/7/16,12,6,6.6
5016,Donatas Motiejunas,PF,3/29/16,10,6,-0.7
5244,Donatas Motiejunas,PF,12/12/15,15,11,6.6
5953,Donatas Motiejunas,PF,12/31/15,6,2,0.6
6101,Donatas Motiejunas,PF,3/27/16,16,8,4.1
6540,Donatas Motiejunas,PF,3/25/16,15,11,9.4
7517,Donatas Motiejunas,PF,12/26/15,7,4,1.7
7529,Donatas Motiejunas,PF,12/14/15,22,19,13.5
9157,Donatas Motiejunas,PF,12/29/15,27,6,7.2
9454,Donatas Motiejunas,PF,3/14/16,21,18,14.4
9834,Donatas Motiejunas,PF,12/21/15,23,6,4.9
10623,Donatas Motiejunas,PF,12/23/15,8,2,0
10685,Donatas Motiejunas,PF,12/8/15,7,0,-1
13529,Donatas Motiejunas,PF,12/25/15,6,4,2
18335,Donatas Motiejunas,PF,3/23/16,18,9,3.2
,Donatas Motiejunas Var,,,,24.45195195,
1392,Doug McDermott,SF,3/21/16,21,16,9.5
2173,Doug McDermott,SF,3/31/16,37,15,11
2567,Doug McDermott,SF,3/5/16,22,7,0.7
2588,Doug McDermott,SF,3/2/16,33,11,2.9
2613,Doug McDermott,SF,1/20/16,33,3,1.2
4045,Doug McDermott,SF,3/16/16,31,20,17.3
4294,Doug McDermott,SF,3/17/16,29,25,18.2
4847,Doug McDermott,SF,2/3/16,25,11,5.4
4884,Doug McDermott,SF,11/5/15,23,9,6.6
5119,Doug McDermott,SF,3/7/16,13,4,0.7
5854,Doug McDermott,SF,2/24/16,29,14,9.4
6427,Doug McDermott,SF,4/13/16,34,16,12.3
6659,Doug McDermott,SF,2/27/16,32,18,11.4
6684,Doug McDermott,SF,2/21/16,21,16,11.7
8652,Doug McDermott,SF,1/22/16,23,0,-2.7
8692,Doug McDermott,SF,1/9/16,24,6,3.1
8782,Doug McDermott,SF,11/20/15,18,3,0.2
8924,Doug McDermott,SF,3/26/16,21,12,7.7
9000,Doug McDermott,SF,2/26/16,31,20,15.6
9094,Doug McDermott,SF,1/11/16,20,9,6.5
10128,Doug McDermott,SF,3/28/16,20,1,-0.3
11038,Doug McDermott,SF,2/5/16,25,15,8.5
11188,Doug McDermott,SF,12/25/15,23,5,2.9
11461,Doug McDermott,SF,4/2/16,16,4,0.8
11646,Doug McDermott,SF,2/18/16,24,3,-1
12144,Doug McDermott,SF,3/14/16,37,29,25.8
12173,Doug McDermott,SF,2/10/16,37,17,10.2
12608,Doug McDermott,SF,4/7/16,21,6,1.8
12649,Doug McDermott,SF,3/24/16,14,1,-1.5
12806,Doug McDermott,SF,2/6/16,26,8,4.1
13213,Doug McDermott,SF,4/9/16,11,6,2.7
13257,Doug McDermott,SF,3/29/16,16,6,2.8
13398,Doug McDermott,SF,1/14/16,33,17,12.9
13445,Doug McDermott,SF,1/7/16,20,9,5.5
13776,Doug McDermott,SF,4/11/16,24,10,8.6
14653,Doug McDermott,SF,12/7/15,23,8,3.6
15089,Doug McDermott,SF,1/31/16,21,6,0.8
15202,Doug McDermott,SF,1/12/16,6,0,-0.7
15411,Doug McDermott,SF,12/10/15,16,0,-4.3
15504,Doug McDermott,SF,11/18/15,25,8,6.6
15617,Doug McDermott,SF,10/30/15,15,6,2.5
15678,Doug McDermott,SF,4/3/16,17,7,4.2
16188,Doug McDermott,SF,3/23/16,20,7,5.8
16354,Doug McDermott,SF,1/23/16,24,3,2.7
16373,Doug McDermott,SF,1/18/16,25,11,8.2
16458,Doug McDermott,SF,12/12/15,28,12,7
16767,Doug McDermott,SF,3/10/16,22,4,3.2
16790,Doug McDermott,SF,3/1/16,26,11,6
17005,Doug McDermott,SF,12/30/15,20,5,2.7
17252,Doug McDermott,SF,11/7/15,21,11,8.9
17642,Doug McDermott,SF,1/15/16,21,0,-1.2
17685,Doug McDermott,SF,1/5/16,11,0,-1.1
17720,Doug McDermott,SF,12/26/15,18,7,5.8
18296,Doug McDermott,SF,4/5/16,24,7,3.1
18366,Doug McDermott,SF,2/19/16,31,30,24.8
18593,Doug McDermott,SF,12/9/15,26,11,5.6
18894,Doug McDermott,SF,3/11/16,23,10,6.2
18936,Doug McDermott,SF,2/8/16,32,14,8.4
18976,Doug McDermott,SF,1/28/16,24,15,5.6
19381,Doug McDermott,SF,1/1/16,20,13,9.2
19620,Doug McDermott,SF,11/27/15,6,0,-2.1
19701,Doug McDermott,SF,11/13/15,16,8,4.8
19743,Doug McDermott,PF,11/1/15,18,12,5.9
20072,Doug McDermott,SF,10/27/15,16,8,7.2
20527,Doug McDermott,SF,11/9/15,28,18,10.5
20797,Doug McDermott,SF,12/2/15,29,11,8
21005,Doug McDermott,SF,12/18/15,22,2,-0.6
21135,Doug McDermott,SF,11/16/15,17,11,6.9
21405,Doug McDermott,SF,12/21/15,25,11,7.2
21990,Doug McDermott,SF,10/28/15,20,8,2.2
22151,Doug McDermott,SF,1/3/16,11,0,-4.6
22232,Doug McDermott,SF,12/5/15,33,13,7.3
22342,Doug McDermott,SF,3/19/16,22,7,4.8
22686,Doug McDermott,SF,12/14/15,24,13,9.2
22929,Doug McDermott,SF,12/19/15,10,0,-2.5
22937,Doug McDermott,SF,12/16/15,23,17,10.2
23653,Doug McDermott,SF,11/3/15,30,17,14.5
24390,Doug McDermott,SF,1/25/16,30,7,0.4
24859,Doug McDermott,SF,2/1/16,19,7,1.8
25440,Doug McDermott,SF,11/30/15,30,12,5.7
,Doug McDermott Var,,,,42.17721519,
39,Draymond Green,PF,3/21/16,37,24,25.3
61,Draymond Green,PF,2/27/16,44,2,14.6
83,Draymond Green,PF,2/6/16,36,9,10.1
101,Draymond Green,PF,3/14/16,31,14,13.5
122,Draymond Green,PF,3/3/16,35,14,15.3
146,Draymond Green,PF,2/9/16,32,8,9.7
164,Draymond Green,PF,3/12/16,37,19,15.7
183,Draymond Green,PF,3/11/16,33,17,20.1
208,Draymond Green,PF,2/20/16,38,18,20.1
253,Draymond Green,PF,4/3/16,35,22,26.4
278,Draymond Green,PF,2/3/16,34,12,18.8
301,Draymond Green,PF,3/18/16,36,15,15.1
325,Draymond Green,PF,2/22/16,38,6,8.6
347,Draymond Green,PF,4/5/16,39,12,10.4
382,Draymond Green,PF,3/29/16,36,15,22.7
408,Draymond Green,PF,2/19/16,31,14,10.5
455,Draymond Green,PF,3/7/16,35,1,5.7
496,Draymond Green,PF,1/9/16,34,25,22.7
535,Draymond Green,PF,2/25/16,32,12,13.1
687,Draymond Green,PF,3/23/16,37,12,10.4
789,Draymond Green,PF,3/6/16,33,9,5.9
848,Draymond Green,PF,3/27/16,36,13,18.2
933,Draymond Green,PF,4/1/16,37,16,19.5
1018,Draymond Green,PF,3/25/16,35,19,25.2
1039,Draymond Green,PF,3/19/16,39,11,12.2
1112,Draymond Green,PF,11/7/15,38,10,10.6
1171,Draymond Green,PF,12/28/15,31,25,18.8
1233,Draymond Green,PF,3/16/16,29,6,11.9
1305,Draymond Green,PF,2/10/16,28,9,5.8
1317,Draymond Green,PF,11/28/15,36,13,16.4
1484,Draymond Green,PF,12/16/15,31,16,23.4
1584,Draymond Green,PF,2/24/16,36,10,8.6
1894,Draymond Green,PF,1/31/16,37,20,25.5
1918,Draymond Green,PF,1/30/16,33,10,11.8
1964,Draymond Green,PF,11/4/15,39,10,3.9
2059,Draymond Green,PF,1/14/16,27,7,8.5
2382,Draymond Green,PF,1/22/16,36,22,20.8
2445,Draymond Green,PF,11/27/15,33,14,19.6
2471,Draymond Green,PF,10/30/15,31,9,12.1
2600,Draymond Green,PF,1/20/16,29,6,10.7
2623,Draymond Green,PF,1/2/16,44,29,37.6
2737,Draymond Green,PF,1/16/16,36,5,7.9
2752,Draymond Green,PF,11/24/15,30,18,19.9
3229,Draymond Green,PF,12/8/15,36,8,2.5
3269,Draymond Green,PF,10/27/15,29,10,5.8
3475,Draymond Green,PF,1/8/16,33,11,16.8
3561,Draymond Green,PF,4/9/16,35,23,22
3815,Draymond Green,PF,1/27/16,24,10,5.5
3896,Draymond Green,PF,12/11/15,50,24,25.8
4213,Draymond Green,PF,11/19/15,30,19,20.7
4376,Draymond Green,PF,3/1/16,42,15,15.6
4508,Draymond Green,PF,1/4/16,37,13,20.9
4663,Draymond Green,PF,4/13/16,30,11,11.7
5628,Draymond Green,PF,1/5/16,28,9,10.1
5910,Draymond Green,PF,1/25/16,27,11,13.2
5935,Draymond Green,PF,12/31/15,38,10,21.4
6041,Draymond Green,PF,11/6/15,33,12,14.3
6066,Draymond Green,PF,10/31/15,37,21,16.3
6252,Draymond Green,PF,12/18/15,40,21,18.6
6337,Draymond Green,PF,11/12/15,35,23,30.2
6773,Draymond Green,PF,1/18/16,31,16,19.3
6929,Draymond Green,PF,12/5/15,39,16,12.7
7014,Draymond Green,PF,11/22/15,31,13,10.5
7457,Draymond Green,PF,1/11/16,36,22,20.6
7562,Draymond Green,PF,12/6/15,34,22,24.2
7778,Draymond Green,PF,3/9/16,35,17,15.8
8185,Draymond Green,PF,11/9/15,33,6,14.7
8255,Draymond Green,PF,4/7/16,34,18,15.3
8703,Draymond Green,PF,12/30/15,31,11,6.4
8770,Draymond Green,PF,11/20/15,35,9,7.8
8789,Draymond Green,PF,11/17/15,35,9,9.3
9168,Draymond Green,PF,12/25/15,39,22,18.5
9257,Draymond Green,PF,12/2/15,31,4,3.6
9953,Draymond Green,PF,11/14/15,42,16,17.6
10566,Draymond Green,PF,12/23/15,38,15,14
11895,Draymond Green,PF,12/12/15,36,24,19.5
12053,Draymond Green,PF,4/10/16,33,11,11.2
13696,Draymond Green,PF,11/2/15,27,11,15.3
14375,Draymond Green,PF,3/30/16,43,13,11.9
17090,Draymond Green,PF,11/30/15,38,20,10.7
18704,Draymond Green,PF,11/11/15,28,7,4.3
,Draymond Green Var,,,,35.98611111,
295,Drew Gooden,PF,2/3/16,6,0,0.6
656,Drew Gooden,PF,2/1/16,15,0,-0.5
1478,Drew Gooden,PF,1/30/16,11,5,4.6
2037,Drew Gooden,PF,2/23/16,2,0,-0.5
2662,Drew Gooden,PF,11/10/15,12,0,-0.9
3764,Drew Gooden,PF,2/11/16,2,0,-1.1
3782,Drew Gooden,PF,2/5/16,13,4,0.8
3874,Drew Gooden,PF,1/25/16,5,0,0
5581,Drew Gooden,PF,1/28/16,12,7,3.8
5799,Drew Gooden,PF,3/4/16,5,0,-1.8
6203,Drew Gooden,PF,2/6/16,13,6,7.8
6440,Drew Gooden,PF,4/13/16,2,1,1.6
7367,Drew Gooden,PF,2/19/16,2,0,-0.7
7625,Drew Gooden,PF,4/6/16,5,4,0.8
8052,Drew Gooden,PF,1/15/16,17,8,1.3
9082,Drew Gooden,PF,1/11/16,27,10,12.6
9659,Drew Gooden,PF,2/9/16,7,0,-1.5
9746,Drew Gooden,PF,1/13/16,27,5,0.9
11752,Drew Gooden,PF,1/26/16,11,1,1.9
12530,Drew Gooden,PF,10/31/15,24,11,11.2
12729,Drew Gooden,PF,2/28/16,5,0,-1.8
15239,Drew Gooden,PF,1/8/16,10,3,2.2
15260,Drew Gooden,PF,1/1/16,4,0,-1.3
16648,Drew Gooden,PF,10/28/15,20,3,3.5
17451,Drew Gooden,PF,2/20/16,5,5,4.2
17958,Drew Gooden,PF,11/4/15,8,0,-0.9
18797,Drew Gooden,PF,10/30/15,8,2,4
19007,Drew Gooden,PF,1/9/16,15,5,2.6
20517,Drew Gooden,PF,11/17/15,5,0,-1
21703,Drew Gooden,PF,2/18/16,6,2,1.2
,Drew Gooden Var,,,,10.54712644,
1204,Duje Dukan,SF,4/13/16,24,6,2.7
,Duje Dukan Var,,,,#DIV/0!,
142,Dwight Howard,C,2/9/16,34,16,9.4
364,Dwight Howard,C,3/22/16,38,16,17.8
477,Dwight Howard,C,3/11/16,35,12,11
521,Dwight Howard,C,3/18/16,29,10,10.8
753,Dwight Howard,C,1/29/16,21,8,4.8
811,Dwight Howard,C,3/2/16,32,16,15
899,Dwight Howard,C,12/15/15,28,4,0.2
919,Dwight Howard,C,4/3/16,20,4,4.6
976,Dwight Howard,C,3/9/16,33,21,22.7
1195,Dwight Howard,C,4/13/16,25,14,14.6
1469,Dwight Howard,C,1/30/16,29,20,14.4
1551,Dwight Howard,C,2/25/16,37,19,17.2
1875,Dwight Howard,C,2/6/16,41,17,18.8
2045,Dwight Howard,C,2/4/16,33,5,7.4
2083,Dwight Howard,C,11/2/15,35,16,14.3
2120,Dwight Howard,C,4/11/16,27,19,16.3
2174,Dwight Howard,C,3/31/16,29,7,11.2
2243,Dwight Howard,C,3/16/16,33,6,2.2
2277,Dwight Howard,C,12/5/15,36,22,23.5
2474,Dwight Howard,C,10/30/15,22,9,3.3
2560,Dwight Howard,C,3/5/16,34,8,3
2802,Dwight Howard,C,3/19/16,35,8,8.5
2824,Dwight Howard,C,3/12/16,34,16,14.9
2960,Dwight Howard,C,2/29/16,35,30,20.7
3058,Dwight Howard,C,2/10/16,35,28,23.5
3203,Dwight Howard,C,12/17/15,26,16,14.2
3348,Dwight Howard,C,3/6/16,38,21,18.2
3544,Dwight Howard,C,12/2/15,37,8,6.5
3730,Dwight Howard,C,2/19/16,30,15,9.1
3921,Dwight Howard,C,12/9/15,28,4,6.7
4422,Dwight Howard,C,2/27/16,36,11,9.1
4551,Dwight Howard,C,12/19/15,26,22,17.5
4688,Dwight Howard,C,4/10/16,33,9,13.2
4714,Dwight Howard,C,4/7/16,30,10,11.6
5004,Dwight Howard,C,3/29/16,31,11,8.5
5230,Dwight Howard,C,12/12/15,33,18,20.6
5318,Dwight Howard,C,11/7/15,29,20,20.4
5936,Dwight Howard,C,12/31/15,35,21,25.2
6092,Dwight Howard,C,3/27/16,30,11,9.8
6544,Dwight Howard,C,3/25/16,23,2,-1
7049,Dwight Howard,C,11/18/15,40,7,11.1
7077,Dwight Howard,C,11/13/15,28,12,7.2
7408,Dwight Howard,C,1/20/16,1,0,0.3
7410,Dwight Howard,C,1/18/16,45,36,39.1
7509,Dwight Howard,C,12/26/15,31,7,7
7523,Dwight Howard,C,12/14/15,33,13,9.9
7952,Dwight Howard,C,1/27/16,23,13,13.2
9150,Dwight Howard,C,12/29/15,38,30,27.6
9301,Dwight Howard,C,11/11/15,37,20,23.1
9450,Dwight Howard,C,3/14/16,24,7,13.9
9831,Dwight Howard,C,12/21/15,27,9,2.7
10014,Dwight Howard,C,11/4/15,31,23,21.8
10464,Dwight Howard,C,1/13/16,36,15,13.1
10480,Dwight Howard,C,1/10/16,43,21,18.7
10574,Dwight Howard,C,12/23/15,36,12,10.2
10674,Dwight Howard,C,12/8/15,29,10,9.8
10692,Dwight Howard,C,11/16/15,30,5,7
10730,Dwight Howard,C,4/6/16,34,14,12.7
12883,Dwight Howard,C,1/17/16,26,14,14.7
13368,Dwight Howard,C,1/15/16,34,14,13.5
13513,Dwight Howard,C,12/25/15,36,11,12
13913,Dwight Howard,C,2/23/16,40,13,13.5
16920,Dwight Howard,C,1/2/16,37,22,18.7
18111,Dwight Howard,C,11/27/15,36,14,16.6
18328,Dwight Howard,C,3/23/16,35,5,5.7
18635,Dwight Howard,C,11/20/15,36,12,13.9
19630,Dwight Howard,C,11/25/15,40,12,8.5
20175,Dwight Howard,C,1/4/16,41,16,12.9
20391,Dwight Howard,C,11/30/15,31,8,9.5
20413,Dwight Howard,C,11/29/15,30,14,9
21336,Dwight Howard,C,1/12/16,38,17,19.5
,Dwight Howard Var,,,,48.33480885,
35,Dwight Powell,PF,2/9/16,12,7,5.7
319,Dwight Powell,PF,3/18/16,2,2,1
1027,Dwight Powell,PF,3/25/16,24,5,3.6
2194,Dwight Powell,PF,3/27/16,16,11,13.3
3035,Dwight Powell,PF,2/24/16,1,0,0
3385,Dwight Powell,PF,3/1/16,4,0,0.6
3812,Dwight Powell,PF,1/27/16,25,11,9.5
3950,Dwight Powell,PF,11/30/15,12,2,1.7
4623,Dwight Powell,PF,11/1/15,25,8,7.7
4901,Dwight Powell,PF,10/29/15,19,9,5.6
5408,Dwight Powell,PF,3/28/16,30,16,14.1
5675,Dwight Powell,PF,11/7/15,26,15,14.2
5823,Dwight Powell,PF,2/28/16,9,2,2.3
6005,Dwight Powell,PF,12/4/15,16,11,10.9
6026,Dwight Powell,PF,11/11/15,16,8,7.2
6368,Dwight Powell,PF,11/10/15,17,10,9.1
7076,Dwight Powell,PF,11/13/15,22,10,13.4
8445,Dwight Powell,PF,3/7/16,6,0,-0.4
8712,Dwight Powell,PF,12/30/15,25,10,5.4
8753,Dwight Powell,PF,11/22/15,13,13,11.2
9226,Dwight Powell,PF,12/14/15,16,8,7.6
9698,Dwight Powell,PF,1/22/16,7,0,0.2
9734,Dwight Powell,PF,1/13/16,32,8,4.5
9901,Dwight Powell,PF,12/16/15,7,2,0.8
9942,Dwight Powell,PF,11/18/15,23,6,4.3
9963,Dwight Powell,PF,11/14/15,26,13,14.6
10866,Dwight Powell,PF,3/16/16,3,2,0.9
11870,Dwight Powell,PF,1/2/16,9,2,1.6
12097,Dwight Powell,PF,4/3/16,4,0,-0.7
12507,Dwight Powell,PF,11/3/15,26,10,8.5
12628,Dwight Powell,PF,4/1/16,0,0,-0.4
12750,Dwight Powell,PF,2/21/16,10,6,5.3
12874,Dwight Powell,PF,1/24/16,14,6,5
12985,Dwight Powell,PF,12/12/15,21,9,7.6
13020,Dwight Powell,PF,11/28/15,21,6,7.6
13428,Dwight Powell,PF,1/8/16,8,4,1.3
14055,Dwight Powell,PF,1/6/16,30,13,14.7
14789,Dwight Powell,PF,10/28/15,17,12,7
15180,Dwight Powell,PF,1/18/16,17,4,4.2
15521,Dwight Powell,PF,11/16/15,26,7,4.9
15965,Dwight Powell,PF,12/9/15,23,14,9.6
17038,Dwight Powell,PF,12/28/15,16,8,6.6
17509,Dwight Powell,PF,2/19/16,4,0,0.9
17599,Dwight Powell,PF,1/26/16,10,4,2.9
17644,Dwight Powell,PF,1/15/16,14,0,-0.1
17718,Dwight Powell,PF,12/26/15,21,9,6.8
17811,Dwight Powell,PF,12/1/15,13,4,3.9
17918,Dwight Powell,PF,11/5/15,23,14,12.3
18488,Dwight Powell,PF,1/20/16,3,0,0
18859,Dwight Powell,PF,3/30/16,18,2,-0.1
18967,Dwight Powell,PF,1/29/16,1,0,0
19031,Dwight Powell,PF,12/23/15,8,2,1.9
19327,Dwight Powell,PF,1/12/16,4,0,-1.8
19341,Dwight Powell,PF,1/10/16,14,0,2.2
19860,Dwight Powell,PF,2/1/16,7,2,0.1
19877,Dwight Powell,PF,1/31/16,12,6,6.6
20356,Dwight Powell,PF,12/7/15,19,8,7.5
20444,Dwight Powell,PF,11/25/15,12,4,1.6
20607,Dwight Powell,PF,2/5/16,13,8,8.4
21006,Dwight Powell,PF,12/18/15,9,0,-0.9
21735,Dwight Powell,PF,1/17/16,16,15,10.5
21836,Dwight Powell,PF,12/22/15,15,3,0.7
21894,Dwight Powell,PF,11/20/15,22,11,11.8
22168,Dwight Powell,PF,1/1/16,14,1,0.8
22843,Dwight Powell,PF,4/10/16,9,4,3.9
23956,Dwight Powell,PF,4/8/16,1,0,0.7
24013,Dwight Powell,PF,2/6/16,14,10,11
25644,Dwight Powell,PF,4/13/16,3,0,1
,Dwight Powell Var,,,,23.15254609,
1574,Dwyane Wade,SG,2/24/16,33,32,24.3
4251,Dwyane Wade,SG,3/28/16,32,30,27.4
4960,Dwyane Wade,SG,4/10/16,24,17,18.1
5831,Dwyane Wade,SG,2/27/16,33,19,8.7
5891,Dwyane Wade,SG,2/2/16,29,16,8.9
6135,Dwyane Wade,SG,3/6/16,31,23,17.3
7162,Dwyane Wade,SG,3/25/16,25,11,10.1
7181,Dwyane Wade,SG,3/22/16,31,25,17.7
7456,Dwyane Wade,SG,1/11/16,33,20,19.7
7740,Dwyane Wade,SG,3/14/16,31,19,11.9
7820,Dwyane Wade,SG,3/4/16,26,21,16.7
7858,Dwyane Wade,SG,3/3/16,33,27,22.4
8850,Dwyane Wade,SG,4/8/16,31,17,7.9
8944,Dwyane Wade,SG,3/17/16,31,11,3.7
10056,Dwyane Wade,PG,11/1/15,33,20,18
10095,Dwyane Wade,SG,3/30/16,39,26,20
11408,Dwyane Wade,SG,4/13/16,31,17,9.9
11527,Dwyane Wade,SG,3/19/16,28,24,19.5
12597,Dwyane Wade,SG,4/7/16,33,21,13.7
15415,Dwyane Wade,SG,12/3/15,33,28,19.1
15474,Dwyane Wade,SG,11/19/15,31,24,18.8
16113,Dwyane Wade,SG,4/5/16,25,16,11.9
16235,Dwyane Wade,SG,2/22/16,39,16,1.2
16780,Dwyane Wade,SG,3/1/16,34,18,11.1
16846,Dwyane Wade,SG,1/17/16,29,22,13.4
18236,Dwyane Wade,SG,10/30/15,30,25,15.1
18493,Dwyane Wade,SG,12/25/15,37,19,8.4
18722,Dwyane Wade,SG,11/10/15,25,12,7.5
18833,Dwyane Wade,SG,4/12/16,34,14,6.3
18888,Dwyane Wade,SG,3/11/16,31,9,5.1
19111,Dwyane Wade,SG,11/17/15,32,10,3.7
19212,Dwyane Wade,SG,3/9/16,34,18,9.7
20625,Dwyane Wade,SG,1/31/16,29,17,16.3
20654,Dwyane Wade,SG,1/13/16,30,16,8
20695,Dwyane Wade,SG,1/8/16,33,27,19.8
20855,Dwyane Wade,SG,11/3/15,27,21,12
20869,Dwyane Wade,SG,2/28/16,32,26,20.7
20959,Dwyane Wade,SG,1/3/16,25,8,5.9
21018,Dwyane Wade,SG,12/11/15,34,20,10.9
21055,Dwyane Wade,SG,12/7/15,32,26,23.5
21160,Dwyane Wade,SG,11/5/15,31,25,18.8
21232,Dwyane Wade,SG,3/23/16,25,16,11.4
21709,Dwyane Wade,SG,2/9/16,31,20,16.5
22157,Dwyane Wade,SG,1/1/16,19,10,11.9
22378,Dwyane Wade,SG,2/7/16,32,17,4.2
22509,Dwyane Wade,SG,12/28/15,30,24,19.5
22620,Dwyane Wade,SG,12/22/15,29,19,11.1
22767,Dwyane Wade,SG,11/6/15,30,9,5.5
22855,Dwyane Wade,SG,2/5/16,30,22,15.4
22871,Dwyane Wade,SG,2/3/16,28,18,13.1
23022,Dwyane Wade,SG,10/28/15,29,20,15.3
23059,Dwyane Wade,SG,1/29/16,32,24,23.3
23183,Dwyane Wade,SG,11/21/15,36,27,24.7
23437,Dwyane Wade,SG,1/4/16,38,27,20
23765,Dwyane Wade,SG,1/6/16,31,18,12.4
23784,Dwyane Wade,SG,12/26/15,30,24,24.9
24091,Dwyane Wade,SG,12/20/15,27,18,16.2
24116,Dwyane Wade,SG,12/14/15,29,7,2.8
24194,Dwyane Wade,SG,11/30/15,32,30,21
24357,Dwyane Wade,SG,1/26/16,32,27,24.2
24378,Dwyane Wade,SG,1/25/16,34,28,21.8
24532,Dwyane Wade,SG,12/9/15,25,11,8.4
24717,Dwyane Wade,SG,1/19/16,21,2,-3.4
24766,Dwyane Wade,SG,12/16/15,30,28,23.3
24808,Dwyane Wade,SG,11/8/15,25,12,6.1
25182,Dwyane Wade,SG,1/22/16,37,22,11.1
25203,Dwyane Wade,SG,11/23/15,30,16,9.5
25348,Dwyane Wade,SG,12/29/15,37,19,15.2
25377,Dwyane Wade,SG,12/13/15,30,14,5.4
25540,Dwyane Wade,SG,12/5/15,29,19,15.5
25701,Dwyane Wade,SG,11/25/15,23,2,-1.9
25714,Dwyane Wade,SG,12/18/15,31,21,11.1
25758,Dwyane Wade,SG,11/27/15,29,17,9.3
26021,Dwyane Wade,SG,1/9/16,33,8,-1.4
,Dwyane Wade Var,,,,43.38189559,
2177,E'Twaun Moore,SG,3/31/16,22,8,6.5
2563,E'Twaun Moore,SG,3/5/16,26,9,5.7
2587,E'Twaun Moore,SG,3/2/16,28,9,6.3
2607,E'Twaun Moore,SG,1/20/16,17,13,11.2
4055,E'Twaun Moore,SG,3/16/16,20,2,-1.6
4310,E'Twaun Moore,SG,3/17/16,2,0,-0.1
4836,E'Twaun Moore,SG,2/3/16,38,24,19.3
4885,E'Twaun Moore,SG,11/5/15,22,0,2.1
5115,E'Twaun Moore,SG,3/7/16,36,16,14.3
5848,E'Twaun Moore,SG,2/24/16,29,17,9.8
6657,E'Twaun Moore,SG,2/27/16,38,19,9.8
6676,E'Twaun Moore,SG,2/21/16,41,24,20.8
8653,E'Twaun Moore,SG,1/22/16,8,0,-1.9
8698,E'Twaun Moore,SG,1/9/16,8,2,0.6
8776,E'Twaun Moore,SG,11/20/15,24,9,5.4
9013,E'Twaun Moore,SG,2/26/16,22,6,-2
9099,E'Twaun Moore,SG,1/11/16,5,3,2.2
11042,E'Twaun Moore,SG,2/5/16,31,8,2.3
11451,E'Twaun Moore,SG,4/2/16,32,8,4.1
11648,E'Twaun Moore,SG,2/18/16,22,5,0.1
12147,E'Twaun Moore,SG,3/14/16,31,17,16
12171,E'Twaun Moore,SG,2/10/16,29,8,5.1
12788,E'Twaun Moore,SG,2/6/16,38,17,15.4
13252,E'Twaun Moore,SG,3/29/16,24,5,2.5
13401,E'Twaun Moore,SG,1/14/16,26,14,11.2
14654,E'Twaun Moore,SG,12/7/15,14,4,3
15081,E'Twaun Moore,SG,1/31/16,30,10,9.2
15509,E'Twaun Moore,SG,11/18/15,14,4,3.2
15621,E'Twaun Moore,SG,10/30/15,18,0,-0.4
15673,E'Twaun Moore,SG,4/3/16,27,6,6.6
16361,E'Twaun Moore,SG,1/23/16,4,0,-0.4
16378,E'Twaun Moore,SG,1/18/16,18,6,4.5
16739,E'Twaun Moore,SG,3/10/16,36,20,17.3
16788,E'Twaun Moore,SG,3/1/16,19,8,6.4
17261,E'Twaun Moore,SG,11/7/15,15,5,3.7
17636,E'Twaun Moore,SG,1/15/16,22,8,5.2
18370,E'Twaun Moore,SG,2/19/16,35,9,12.9
18608,E'Twaun Moore,SG,12/9/15,10,0,0
18892,E'Twaun Moore,SG,3/11/16,27,6,4
18931,E'Twaun Moore,SG,2/8/16,32,12,8.8
18980,E'Twaun Moore,SG,1/28/16,36,8,6.7
19384,E'Twaun Moore,SG,1/1/16,18,2,3.7
19595,E'Twaun Moore,SG,11/27/15,27,7,6.4
19697,E'Twaun Moore,SG,11/13/15,23,11,9.5
19747,E'Twaun Moore,PG,11/1/15,19,0,-4.4
20067,E'Twaun Moore,SG,10/27/15,14,11,7.8
20532,E'Twaun Moore,SG,11/9/15,23,9,7.3
20804,E'Twaun Moore,SG,12/2/15,11,3,-1.1
21003,E'Twaun Moore,SG,12/18/15,3,5,3.6
21137,E'Twaun Moore,SG,11/16/15,16,2,2.6
21992,E'Twaun Moore,SG,10/28/15,17,9,6.1
22150,E'Twaun Moore,SG,1/3/16,16,4,2.3
22235,E'Twaun Moore,SG,12/5/15,13,5,5.8
22702,E'Twaun Moore,SG,12/14/15,8,0,-1.8
22922,E'Twaun Moore,SG,12/19/15,12,4,2.9
23670,E'Twaun Moore,SG,11/3/15,16,8,4
24858,E'Twaun Moore,SG,2/1/16,27,8,1.4
25444,E'Twaun Moore,SG,11/30/15,17,6,1.3
,E'Twaun Moore Var,,,,35.39292196,
203,Ed Davis,PF,3/11/16,10,2,0.5
258,Ed Davis,PF,4/3/16,21,6,10.3
416,Ed Davis,PF,2/19/16,16,2,3.8
677,Ed Davis,PF,4/5/16,20,2,1.8
962,Ed Davis,PF,3/28/16,23,8,9.3
1102,Ed Davis,PF,3/2/16,12,3,3.4
1133,Ed Davis,PF,3/18/16,21,10,13.9
1369,Ed Davis,PF,3/26/16,26,6,9.7
1556,Ed Davis,PF,2/25/16,19,6,8.5
1884,Ed Davis,PF,2/6/16,22,3,3.3
2106,Ed Davis,PF,4/13/16,24,9,7
2270,Ed Davis,PF,3/14/16,15,4,3.2
2528,Ed Davis,PF,4/9/16,16,6,6.9
