,Rk,Player,Age,Pos,Date,Tm,Opp,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Binned PTS
31,32,Anthony Davis,23-257,F-C,11/23/16,NOP,MIN,1,39,17,27,0.63,15,23,0.652,2,4,0.5,9,10,0.9,1,9,10,3,2,1,4,1,45,36.3,40-50
32,33,Kyrie Irving,25-017,G,4/9/17,CLE,ATL,1,45,16,30,0.5329999999999999,8,18,0.444,8,12,0.667,5,6,0.833,0,2,2,9,1,0,3,3,45,33.7,40-50
33,34,Russell Westbrook,28-041,G,12/23/16,OKC,BOS,1,35,13,25,0.52,8,18,0.444,5,7,0.7140000000000001,14,16,0.875,1,10,11,11,1,0,4,1,45,39.9,40-50
34,35,LeBron James,31-346,F-G,12/10/16,CLE,CHO,1,42,17,24,0.708,12,14,0.857,5,10,0.5,5,9,0.556,1,8,9,10,3,1,5,3,44,40.0,40-50
35,36,Isaiah Thomas,27-360,G,2/1/17,BOS,TOR,1,38,12,22,0.545,7,10,0.7,5,12,0.41700000000000004,15,16,0.938,0,4,4,7,0,0,3,3,44,34.9,40-50
36,37,Isaiah Thomas,27-317,G,12/20/16,BOS,MEM,1,38,10,16,0.625,3,6,0.5,7,10,0.7,17,17,1.0,0,3,3,6,2,1,1,1,44,43.2,40-50
37,38,Kyrie Irving,24-345,G,3/3/17,CLE,ATL,1,36,14,21,0.667,9,13,0.6920000000000001,5,8,0.625,10,10,1.0,0,2,2,9,4,1,3,0,43,42.5,40-50
38,39,Stephen Curry,28-320,G,1/28/17,GSW,LAC,1,29,15,23,0.652,6,8,0.75,9,15,0.6,4,4,1.0,0,9,9,6,0,0,2,1,43,37.4,40-50
39,40,Russell Westbrook,28-108,G,2/28/17,OKC,UTA,1,39,13,28,0.46399999999999997,7,19,0.368,6,9,0.667,11,12,0.917,0,11,11,10,0,0,8,1,43,30.1,40-50
40,41,DeMar DeRozan,27-201,G,2/24/17,TOR,BOS,1,37,15,28,0.536,14,25,0.56,1,3,0.33299999999999996,12,12,1.0,0,5,5,5,0,0,3,2,43,30.6,40-50
41,42,Blake Griffin,27-347,F,2/26/17,LAC,CHO,1,42,15,26,0.5770000000000001,12,22,0.545,3,4,0.75,10,16,0.625,4,6,10,5,2,0,1,4,43,35.9,40-50
42,43,Paul George,26-335,F,4/2/17,IND,CLE,1,48,16,33,0.485,10,17,0.588,6,16,0.375,5,7,0.7140000000000001,0,9,9,9,3,1,3,5,43,33.2,40-50
43,44,C.J. McCollum,25-104,G,1/1/17,POR,MIN,1,39,16,25,0.64,13,19,0.684,3,6,0.5,8,9,0.889,1,4,5,3,3,1,3,3,43,35.0,40-50
44,45,Stephen Curry,29-022,G,4/5/17,GSW,PHO,1,35,15,25,0.6,7,13,0.5379999999999999,8,12,0.667,4,7,0.5710000000000001,0,4,4,11,2,2,3,0,42,38.6,40-50
45,46,James Harden,27-161,G,2/3/17,HOU,CHI,1,44,13,33,0.39399999999999996,8,20,0.4,5,13,0.385,11,14,0.7859999999999999,1,11,12,9,1,1,2,4,42,31.3,40-50
46,47,Anthony Davis,23-336,F-C,2/10/17,NOP,MIN,1,36,16,22,0.727,14,19,0.737,2,3,0.667,8,11,0.727,2,11,13,2,1,1,2,3,42,36.4,40-50
47,48,Marc Gasol,31-362,C,1/25/17,MEM,TOR,1,38,14,25,0.56,9,15,0.6,5,10,0.5,9,10,0.9,0,7,7,2,1,2,2,1,42,33.2,40-50
