,Rk,Player,Age,Pos,Date,Tm,Opp,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Binned PTS
1201,1202,John Wall,26-126,G,1/10/17,WAS,CHI,1,40,11,21,0.524,10,19,0.526,1,2,0.5,3,4,0.75,0,6,6,14,1,1,5,2,26,22.8,20-30
1202,1203,Raymond Felton,32-187,G,12/30/16,LAC,HOU,0,31,10,20,0.5,6,13,0.462,4,7,0.5710000000000001,2,2,1.0,1,4,5,8,1,0,5,1,26,19.1,20-30
1203,1204,Avery Bradley,26-041,G,1/6/17,BOS,PHI,1,36,10,24,0.41700000000000004,4,13,0.308,6,11,0.545,0,0,,2,7,9,2,1,0,0,1,26,18.7,20-30
1204,1205,Andrew Wiggins,22-022,F-G,3/17/17,MIN,MIA,1,39,10,23,0.435,9,21,0.429,1,2,0.5,5,6,0.833,1,2,3,0,1,1,2,2,26,13.7,20-30
1205,1206,James Harden,27-063,G,10/28/16,HOU,DAL,1,36,9,18,0.5,5,9,0.556,4,9,0.444,4,5,0.8,1,6,7,8,1,0,4,4,26,20.1,20-30
1206,1207,Karl-Anthony Towns,21-078,C-F,2/1/17,MIN,CLE,1,39,11,19,0.579,9,17,0.529,2,2,1.0,2,2,1.0,3,9,12,4,1,2,1,0,26,26.1,20-30
1207,1208,Kyrie Irving,24-219,G,10/28/16,CLE,TOR,1,38,10,23,0.435,5,14,0.35700000000000004,5,9,0.556,1,1,1.0,1,5,6,6,0,0,7,4,26,11.7,20-30
1208,1209,Jrue Holiday,26-264,G,3/3/17,NOP,SAS,1,43,12,27,0.444,10,21,0.47600000000000003,2,6,0.33299999999999996,0,0,,1,6,7,5,1,0,4,1,26,14.5,20-30
1209,1210,Eric Bledsoe,27-027,G,1/5/17,PHO,DAL,1,30,9,16,0.563,7,9,0.778,2,7,0.28600000000000003,6,7,0.857,0,0,0,7,1,0,3,1,26,20.5,20-30
1210,1211,Jahlil Okafor,21-030,C-F,1/14/17,PHI,WAS,1,35,10,16,0.625,10,16,0.625,0,0,,6,11,0.545,5,4,9,0,1,1,3,2,26,19.4,20-30
1211,1212,Kyrie Irving,24-296,G,1/13/17,CLE,SAC,1,35,10,22,0.455,8,15,0.5329999999999999,2,7,0.28600000000000003,4,4,1.0,1,3,4,5,1,0,3,5,26,15.7,20-30
1212,1213,Kemba Walker,26-298,G,3/2/17,CHO,PHO,1,36,10,24,0.41700000000000004,7,13,0.5379999999999999,3,11,0.273,3,4,0.75,0,4,4,8,2,0,1,4,26,19.0,20-30
1213,1214,Kentavious Caldwell-Pope,23-277,G,11/21/16,DET,HOU,1,38,9,15,0.6,6,9,0.667,3,6,0.5,5,7,0.7140000000000001,0,1,1,2,2,0,4,4,26,16.4,20-30
1214,1215,Derrick Rose,28-109,G,1/21/17,NYK,PHO,1,36,12,26,0.462,12,25,0.48,0,1,0.0,2,2,1.0,3,0,3,5,0,0,0,2,26,17.4,20-30
1215,1216,Eric Gordon,27-338,G,11/27/16,HOU,POR,0,30,9,15,0.6,3,6,0.5,6,9,0.667,2,3,0.667,1,4,5,4,1,0,1,1,26,23.0,20-30
1216,1217,LeBron James,31-353,F-G,12/17/16,CLE,LAL,1,39,9,18,0.5,7,13,0.5379999999999999,2,5,0.4,6,11,0.545,1,6,7,9,2,2,2,1,26,24.8,20-30
1217,1218,Bradley Beal,23-163,G,12/8/16,WAS,DEN,1,37,8,15,0.5329999999999999,4,8,0.5,4,7,0.5710000000000001,6,6,1.0,0,3,3,5,0,0,2,1,26,20.7,20-30
1218,1219,Paul George,26-248,F,1/5/17,IND,BRK,1,31,10,18,0.556,8,14,0.5710000000000001,2,4,0.5,4,6,0.667,0,1,1,3,3,0,0,0,26,22.0,20-30
1219,1220,Terrence Jones,24-312,F,11/16/16,NOP,ORL,1,38,9,20,0.45,7,16,0.43799999999999994,2,4,0.5,6,7,0.857,0,9,9,2,0,1,1,2,26,18.2,20-30
1220,1221,Carmelo Anthony,32-247,F,1/31/17,NYK,WAS,1,32,10,17,0.588,9,14,0.643,1,3,0.33299999999999996,5,5,1.0,1,4,5,0,0,0,1,1,26,18.6,20-30
1221,1222,Jimmy Butler,27-072,G-F,11/25/16,CHI,PHI,1,31,10,15,0.667,9,13,0.6920000000000001,1,2,0.5,5,6,0.833,1,3,4,3,1,0,0,1,26,23.4,20-30
1222,1223,Karl-Anthony Towns,21-137,C-F,4/1/17,MIN,SAC,1,40,8,17,0.47100000000000003,7,12,0.583,1,5,0.2,9,10,0.9,3,8,11,2,1,0,5,4,26,17.2,20-30
1223,1224,Tony Snell,25-138,G-F,3/28/17,MIL,CHO,1,31,10,14,0.7140000000000001,6,6,1.0,4,8,0.5,2,2,1.0,0,3,3,1,0,0,1,1,26,20.4,20-30
1224,1225,Stephen Curry,28-225,G,10/25/16,GSW,SAS,1,34,9,18,0.5,6,8,0.75,3,10,0.3,5,6,0.833,0,3,3,4,0,0,4,1,26,15.9,20-30
1225,1226,Marc Gasol,31-312,C,12/6/16,MEM,PHI,1,34,9,17,0.529,9,15,0.6,0,2,0.0,8,10,0.8,1,11,12,3,1,2,4,3,26,20.2,20-30
1226,1227,Carmelo Anthony,32-239,F,1/23/17,NYK,IND,1,34,9,17,0.529,8,14,0.5710000000000001,1,3,0.33299999999999996,7,8,0.875,1,4,5,2,0,1,4,4,26,15.7,20-30
1227,1228,James Johnson,30-044,F,4/5/17,MIA,CHO,1,32,10,12,0.833,4,5,0.8,6,7,0.857,0,0,,0,4,4,3,2,0,2,0,26,24.9,20-30
1228,1229,LeBron James,32-090,F-G,3/30/17,CLE,CHI,1,39,11,20,0.55,10,13,0.769,1,7,0.14300000000000002,3,7,0.429,1,9,10,8,1,1,4,0,26,21.5,20-30
1229,1230,Kemba Walker,26-199,G,11/23/16,CHO,SAS,1,32,9,16,0.563,5,12,0.41700000000000004,4,4,1.0,4,4,1.0,3,6,9,7,0,0,2,2,26,24.4,20-30
1230,1231,Kentavious Caldwell-Pope,24-014,G,3/4/17,DET,PHI,1,31,9,11,0.818,6,6,1.0,3,5,0.6,5,6,0.833,1,2,3,1,1,0,1,1,26,23.1,20-30
1231,1232,Victor Oladipo,24-198,G,11/18/16,OKC,BRK,1,36,11,17,0.647,8,11,0.727,3,6,0.5,1,1,1.0,1,4,5,6,0,0,3,4,26,20.0,20-30
1232,1233,LeBron James,31-333,F-G,11/27/16,CLE,PHI,1,42,9,19,0.474,8,15,0.5329999999999999,1,4,0.25,7,9,0.778,2,8,10,13,1,0,5,0,26,24.4,20-30
1233,1234,Victor Oladipo,24-205,G,11/25/16,OKC,DEN,1,42,11,19,0.579,9,13,0.6920000000000001,2,6,0.33299999999999996,2,2,1.0,1,3,4,7,3,0,1,1,26,25.2,20-30
1234,1235,Blake Griffin,27-327,F,2/6/17,LAC,TOR,1,37,11,19,0.579,9,16,0.563,2,3,0.667,2,3,0.667,4,7,11,11,1,0,2,3,26,27.1,20-30
1235,1236,Blake Griffin,27-277,F,12/18/16,LAC,WAS,1,38,10,21,0.47600000000000003,10,21,0.47600000000000003,0,0,,6,8,0.75,1,6,7,7,1,0,2,1,26,20.5,20-30
1236,1237,Carmelo Anthony,32-222,F,1/6/17,NYK,MIL,1,39,8,20,0.4,4,15,0.267,4,5,0.8,6,9,0.667,0,6,6,10,1,0,2,1,26,21.4,20-30
1237,1238,Will Barton,26-011,G,1/17/17,DEN,LAL,1,35,9,16,0.563,4,11,0.364,5,5,1.0,3,5,0.6,1,3,4,8,0,0,1,3,26,22.6,20-30
1238,1239,T.J. Warren,23-055,F,10/30/16,PHO,GSW,1,37,10,21,0.47600000000000003,8,16,0.5,2,5,0.4,4,4,1.0,3,3,6,1,1,1,0,5,26,18.7,20-30
1239,1240,Chris Paul,31-207,G,11/29/16,LAC,BRK,1,45,11,26,0.423,7,19,0.368,4,7,0.5710000000000001,0,0,,3,7,10,13,2,1,4,2,26,23.4,20-30
1240,1241,Gordon Hayward,26-303,F-G,1/20/17,UTA,DAL,1,38,8,22,0.364,5,15,0.33299999999999996,3,7,0.429,7,8,0.875,2,5,7,4,1,1,3,3,26,16.6,20-30
1241,1242,Giannis Antetokounmpo,22-027,F-G,1/2/17,MIL,OKC,1,41,10,19,0.526,9,16,0.563,1,3,0.33299999999999996,5,10,0.5,2,8,10,5,1,1,1,0,26,22.7,20-30
1242,1243,Russell Westbrook,28-035,G,12/17/16,OKC,PHO,1,34,9,17,0.529,8,15,0.5329999999999999,1,2,0.5,7,7,1.0,0,11,11,22,2,1,5,3,26,32.9,20-30
1243,1244,Rudy Gobert,24-220,C,2/1/17,UTA,MIL,1,34,9,13,0.6920000000000001,9,13,0.6920000000000001,0,0,,8,10,0.8,5,9,14,1,1,1,2,6,26,23.9,20-30
1244,1245,Jimmy Butler,27-108,G-F,12/31/16,CHI,MIL,1,38,7,16,0.43799999999999994,5,10,0.5,2,6,0.33299999999999996,10,15,0.667,3,4,7,8,2,0,3,1,26,23.1,20-30
1245,1246,Brook Lopez,28-255,C,12/12/16,BRK,HOU,1,32,9,17,0.529,9,15,0.6,0,2,0.0,8,8,1.0,1,0,1,2,1,2,4,1,26,17.8,20-30
1246,1247,Harrison Barnes,24-253,F,2/7/17,DAL,POR,1,38,10,19,0.526,9,16,0.563,1,3,0.33299999999999996,5,8,0.625,0,5,5,0,2,0,2,2,26,16.2,20-30
1247,1248,Derrick Rose,28-155,G,3/8/17,NYK,MIL,1,39,13,16,0.813,13,16,0.813,0,0,,0,0,,0,1,1,6,0,0,2,0,26,22.5,20-30
1248,1249,Devin Booker,20-083,G,1/21/17,PHO,NYK,1,37,10,21,0.47600000000000003,7,17,0.41200000000000003,3,4,0.75,3,3,1.0,1,0,1,2,1,1,5,4,26,12.5,20-30
1249,1250,Bradley Beal,23-256,G,3/11/17,WAS,POR,1,33,9,18,0.5,4,8,0.5,5,10,0.5,3,4,0.75,0,1,1,6,1,0,1,2,26,20.3,20-30
1250,1251,DeMarcus Cousins,26-167,C-F,1/27/17,SAC,IND,1,39,8,17,0.47100000000000003,7,12,0.583,1,5,0.2,9,14,0.643,3,13,16,5,0,1,6,5,26,17.5,20-30
1251,1252,Langston Galloway,24-362,G,12/5/16,NOP,MEM,0,36,9,18,0.5,3,5,0.6,6,13,0.462,2,2,1.0,0,1,1,2,0,0,1,0,26,17.7,20-30
1252,1253,Nick Young,31-254,G-F,2/10/17,LAL,MIL,1,29,8,11,0.727,3,3,1.0,5,8,0.625,5,5,1.0,1,1,2,4,2,0,1,3,26,25.1,20-30
1253,1254,Jamal Crawford,36-278,G,12/23/16,LAC,DAL,0,30,10,16,0.625,7,11,0.636,3,5,0.6,3,3,1.0,0,1,1,6,0,0,4,0,26,19.3,20-30
1254,1255,LaMarcus Aldridge,31-245,F-C,3/21/17,SAS,MIN,1,38,12,24,0.5,12,24,0.5,0,0,,2,2,1.0,3,1,4,3,2,2,2,3,26,18.7,20-30
1255,1256,Kevin Durant,28-084,F-G,12/22/16,GSW,BRK,1,34,10,23,0.435,9,16,0.563,1,7,0.14300000000000002,5,6,0.833,0,9,9,7,3,1,0,2,26,24.0,20-30
1256,1257,Nikola Jokic,22-040,C-F,3/31/17,DEN,CHO,1,37,11,16,0.688,9,13,0.6920000000000001,2,3,0.667,2,3,0.667,3,10,13,10,0,0,2,4,26,27.3,20-30
1257,1258,Jimmy Butler,27-082,G-F,12/5/16,CHI,POR,1,37,8,16,0.5,6,12,0.5,2,4,0.5,8,8,1.0,2,5,7,5,1,2,2,1,26,24.4,20-30
1258,1259,Kyrie Irving,24-302,G,1/19/17,CLE,PHO,1,33,10,20,0.5,8,13,0.615,2,7,0.28600000000000003,4,5,0.8,0,2,2,4,2,0,2,2,26,18.2,20-30
1259,1260,Hassan Whiteside,27-272,C,3/12/17,MIA,IND,1,34,11,21,0.524,11,21,0.524,0,0,,4,5,0.8,10,11,21,0,0,1,2,2,26,23.5,20-30
1260,1261,Goran Dragic,30-266,G,1/27/17,MIA,CHI,1,34,12,20,0.6,11,16,0.688,1,4,0.25,1,1,1.0,1,4,5,11,3,0,5,1,26,24.0,20-30
1261,1262,LeBron James,32-024,F-G,1/23/17,CLE,NOP,1,44,11,21,0.524,10,17,0.588,1,4,0.25,3,4,0.75,2,8,10,12,2,0,6,2,26,22.7,20-30
1262,1263,Jimmy Butler,27-080,G-F,12/3/16,CHI,DAL,1,36,8,18,0.444,8,15,0.5329999999999999,0,3,0.0,10,12,0.833,1,8,9,4,2,0,3,3,26,19.5,20-30
1263,1264,James Johnson,29-357,F,2/11/17,MIA,PHI,0,36,8,15,0.5329999999999999,7,12,0.583,1,3,0.33299999999999996,9,13,0.6920000000000001,1,3,4,3,0,2,4,4,26,16.6,20-30
1264,1265,Karl-Anthony Towns,21-040,C-F,12/25/16,MIN,OKC,1,32,10,20,0.5,10,18,0.556,0,2,0.0,6,6,1.0,2,6,8,0,0,0,3,1,26,15.8,20-30
1265,1266,Hassan Whiteside,27-211,C,1/10/17,MIA,GSW,1,37,12,17,0.706,12,17,0.706,0,0,,2,3,0.667,3,17,20,2,1,2,4,3,26,24.3,20-30
1266,1267,Blake Griffin,27-271,F,12/12/16,LAC,POR,1,40,12,25,0.48,12,25,0.48,0,0,,2,3,0.667,4,8,12,6,0,1,5,3,26,16.8,20-30
1267,1268,Gordon Hayward,26-262,F-G,12/10/16,UTA,SAC,1,32,9,19,0.474,6,12,0.5,3,7,0.429,5,5,1.0,0,7,7,3,1,0,3,3,26,17.3,20-30
1268,1269,Darren Collison,29-169,G,2/8/17,SAC,BOS,1,38,12,21,0.5710000000000001,10,17,0.588,2,4,0.5,0,0,,0,1,1,5,4,0,2,4,26,20.3,20-30
1269,1270,John Wall,26-190,G,3/15/17,WAS,DAL,1,36,10,20,0.5,8,15,0.5329999999999999,2,5,0.4,4,6,0.667,0,1,1,11,3,0,3,1,26,22.8,20-30
1270,1271,Andre Drummond,23-119,C,12/7/16,DET,CHO,1,34,11,14,0.7859999999999999,11,14,0.7859999999999999,0,0,,4,7,0.5710000000000001,2,18,20,1,0,2,1,5,26,25.3,20-30
1271,1272,DeMarcus Cousins,26-204,C-F,3/5/17,NOP,LAL,1,31,9,21,0.429,6,16,0.375,3,5,0.6,5,6,0.833,4,11,15,2,0,1,4,6,26,16.3,20-30
1272,1273,Devin Booker,20-086,G,1/24/17,PHO,MIN,1,43,9,23,0.391,5,16,0.313,4,7,0.5710000000000001,4,4,1.0,0,2,2,4,0,0,4,3,26,11.7,20-30
1273,1274,Darren Collison,29-133,G,1/3/17,SAC,DEN,1,36,10,16,0.625,8,11,0.727,2,5,0.4,4,4,1.0,1,1,2,7,0,0,2,1,26,22.3,20-30
1274,1275,DeMar DeRozan,27-149,G,1/3/17,TOR,SAS,1,32,12,21,0.5710000000000001,12,21,0.5710000000000001,0,0,,2,3,0.667,1,3,4,2,0,0,3,2,26,14.9,20-30
1275,1276,Bojan Bogdanovic,27-252,G-F,12/26/16,BRK,CHO,0,27,7,11,0.636,3,4,0.75,4,7,0.5710000000000001,8,9,0.889,1,3,4,2,0,0,0,1,26,23.3,20-30
1276,1277,Klay Thompson,27-003,G,2/11/17,GSW,OKC,1,33,7,12,0.583,2,4,0.5,5,8,0.625,7,8,0.875,1,0,1,0,1,0,3,3,26,17.5,20-30
1277,1278,Gary Harris,22-175,G,3/8/17,DEN,WAS,1,37,10,15,0.667,4,6,0.667,6,9,0.667,0,0,,1,1,2,4,0,0,0,0,26,23.3,20-30
1278,1279,Karl-Anthony Towns,21-091,C-F,2/14/17,MIN,CLE,1,39,11,19,0.579,10,15,0.667,1,4,0.25,3,3,1.0,2,6,8,4,0,1,2,4,26,20.2,20-30
1279,1280,James Harden,27-095,G,11/29/16,HOU,UTA,1,35,8,23,0.348,6,17,0.353,2,6,0.33299999999999996,8,10,0.8,3,2,5,7,2,0,2,3,26,18.7,20-30
1280,1281,Wesley Matthews,30-050,G,12/3/16,DAL,CHI,1,35,9,17,0.529,2,6,0.33299999999999996,7,11,0.636,1,1,1.0,0,3,3,2,2,0,3,4,26,17.4,20-30
1281,1282,Jimmy Butler,27-100,G-F,12/23/16,CHI,CHO,1,39,11,19,0.579,9,15,0.6,2,4,0.5,2,2,1.0,0,4,4,4,0,1,2,2,26,19.0,20-30
1282,1283,C.J. McCollum,25-059,G,11/17/16,POR,HOU,1,35,11,19,0.579,10,15,0.667,1,4,0.25,3,3,1.0,2,1,3,4,0,0,4,2,26,16.8,20-30
1283,1284,Wilson Chandler,29-266,F,1/31/17,DEN,LAL,0,36,10,20,0.5,6,14,0.429,4,6,0.667,2,2,1.0,4,5,9,4,3,1,0,3,26,25.6,20-30
1284,1285,Andrew Wiggins,21-300,F-G,12/19/16,MIN,PHO,1,39,11,20,0.55,10,18,0.556,1,2,0.5,3,4,0.75,0,4,4,2,3,0,3,5,26,16.6,20-30
1285,1286,Rudy Gobert,24-272,C,3/25/17,UTA,LAC,1,36,10,13,0.769,10,13,0.769,0,0,,6,10,0.6,7,7,14,1,0,2,4,2,26,23.6,20-30
1286,1287,C.J. McCollum,25-177,G,3/15/17,POR,SAS,1,39,8,16,0.5,6,14,0.429,2,2,1.0,8,8,1.0,1,3,4,4,1,0,1,0,26,22.4,20-30
1287,1288,James Harden,27-132,G,1/5/17,HOU,OKC,1,38,6,16,0.375,4,9,0.444,2,7,0.28600000000000003,12,14,0.857,1,7,8,12,1,1,6,2,26,22.5,20-30
1288,1289,Kyrie Irving,25-001,G,3/24/17,CLE,CHO,1,38,11,22,0.5,9,16,0.563,2,6,0.33299999999999996,2,2,1.0,0,1,1,7,4,0,4,2,26,19.4,20-30
1289,1290,Jonathan Gibson,29-011,G,11/19/16,DAL,ORL,0,32,8,16,0.5,3,7,0.429,5,9,0.556,5,6,0.833,0,6,6,3,2,0,6,5,26,15.5,20-30
1290,1291,DeMar DeRozan,27-100,G,11/15/16,TOR,CLE,1,34,10,27,0.37,8,22,0.364,2,5,0.4,4,8,0.5,1,5,6,4,3,0,2,1,26,15.1,20-30
1291,1292,Justin Anderson,23-144,G,4/12/17,PHI,NYK,1,35,9,11,0.818,6,7,0.857,3,4,0.75,5,7,0.7140000000000001,0,2,2,3,3,1,2,3,26,24.3,20-30
1292,1293,Paul Millsap,32-055,F,4/6/17,ATL,BOS,0,29,8,15,0.5329999999999999,7,12,0.583,1,3,0.33299999999999996,9,12,0.75,4,8,12,4,2,0,3,2,26,23.7,20-30
1293,1294,C.J. McCollum,25-116,G,1/13/17,POR,ORL,1,37,10,21,0.47600000000000003,6,15,0.4,4,6,0.667,2,2,1.0,1,2,3,2,1,3,2,4,26,17.5,20-30
1294,1295,C.J. McCollum,25-147,G,2/13/17,POR,ATL,1,41,9,24,0.375,6,16,0.375,3,8,0.375,5,6,0.833,2,5,7,5,0,0,1,2,26,17.0,20-30
1295,1296,DeMarcus Cousins,26-153,C-F,1/13/17,SAC,CLE,1,39,9,16,0.563,8,11,0.727,1,5,0.2,7,9,0.778,0,7,7,11,1,0,6,3,26,21.2,20-30
1296,1297,Blake Griffin,27-250,F,11/21/16,LAC,TOR,1,36,10,17,0.588,10,17,0.588,0,0,,6,8,0.75,1,6,7,7,1,1,0,5,26,24.4,20-30
1297,1298,Klay Thompson,26-362,G,2/4/17,GSW,SAC,1,43,10,25,0.4,6,14,0.429,4,11,0.364,2,2,1.0,3,2,5,1,1,0,3,1,26,13.5,20-30
1298,1299,James Harden,27-150,G,1/23/17,HOU,MIL,1,40,6,10,0.6,4,6,0.667,2,4,0.5,12,14,0.857,0,8,8,12,3,1,11,3,26,22.9,20-30
1299,1300,Robert Covington,26-000,F,12/14/16,PHI,TOR,1,31,10,20,0.5,7,13,0.5379999999999999,3,7,0.429,3,4,0.75,7,5,12,2,0,0,3,5,26,18.4,20-30
1300,1301,Derrick Rose,28-085,G,12/28/16,NYK,ATL,1,43,9,28,0.321,9,26,0.34600000000000003,0,2,0.0,8,9,0.889,2,5,7,6,0,0,2,3,26,13.5,20-30
1301,1302,Wesley Matthews,30-047,G,11/30/16,DAL,SAS,1,37,8,19,0.42100000000000004,3,8,0.375,5,11,0.455,5,6,0.833,0,2,2,1,2,1,1,1,26,18.1,20-30
1302,1303,Bradley Beal,23-194,G,1/8/17,WAS,MIL,1,36,10,19,0.526,8,9,0.889,2,10,0.2,4,5,0.8,1,3,4,2,0,1,3,5,26,15.0,20-30
1303,1304,Reggie Jackson,26-324,G,3/6/17,DET,CHI,1,31,11,16,0.688,9,13,0.6920000000000001,2,3,0.667,2,2,1.0,0,2,2,6,0,0,1,1,26,22.6,20-30
1304,1305,Bojan Bogdanovic,27-194,G-F,10/29/16,BRK,MIL,1,31,9,15,0.6,7,9,0.778,2,6,0.33299999999999996,6,6,1.0,2,6,8,1,0,0,2,2,26,20.2,20-30
1305,1306,Kemba Walker,26-324,G,3/28/17,CHO,MIL,1,33,10,19,0.526,6,9,0.667,4,10,0.4,2,3,0.667,1,2,3,5,0,0,0,0,26,21.1,20-30
1306,1307,Kyrie Irving,24-329,G,2/15/17,CLE,IND,1,34,7,17,0.41200000000000003,4,10,0.4,3,7,0.429,9,9,1.0,0,2,2,7,2,0,2,3,26,21.2,20-30
1307,1308,Al Horford,30-182,C-F,12/2/16,BOS,SAC,1,36,10,18,0.556,6,11,0.545,4,7,0.5710000000000001,2,2,1.0,2,6,8,3,2,6,1,2,26,27.1,20-30
1308,1309,Wesley Matthews,30-057,G,12/10/16,DAL,HOU,1,35,8,22,0.364,3,9,0.33299999999999996,5,13,0.385,5,7,0.7140000000000001,1,2,3,2,1,0,0,1,26,16.3,20-30
1309,1310,Brook Lopez,28-361,C,3/28/17,BRK,PHI,1,31,10,15,0.667,7,8,0.875,3,7,0.429,3,4,0.75,3,6,9,6,0,2,1,2,26,26.8,20-30
1310,1311,Nick Young,31-214,G-F,1/1/17,LAL,TOR,1,30,8,14,0.5710000000000001,1,5,0.2,7,9,0.778,3,3,1.0,0,2,2,0,2,0,2,3,26,18.8,20-30
1311,1312,Tyreke Evans,27-170,G-F,3/8/17,SAC,SAS,1,29,9,13,0.6920000000000001,6,9,0.667,3,4,0.75,5,7,0.7140000000000001,1,1,2,4,2,0,2,1,26,23.1,20-30
1312,1313,Stephen Curry,28-269,G,12/8/16,GSW,UTA,1,36,7,16,0.43799999999999994,4,7,0.5710000000000001,3,9,0.33299999999999996,9,9,1.0,0,5,5,2,2,0,3,2,26,18.7,20-30
1313,1314,Jeremy Lamb,24-287,G-F,3/13/17,CHO,CHI,1,31,10,17,0.588,7,12,0.583,3,5,0.6,3,4,0.75,2,2,4,2,2,0,3,4,26,18.5,20-30
1314,1315,Klay Thompson,26-343,G,1/16/17,GSW,CLE,1,31,8,17,0.47100000000000003,3,6,0.5,5,11,0.455,5,5,1.0,0,4,4,0,0,1,2,5,26,15.2,20-30
1315,1316,Hassan Whiteside,27-184,C,12/14/16,MIA,IND,1,34,10,16,0.625,10,16,0.625,0,0,,6,11,0.545,6,16,22,0,0,2,3,3,26,23.0,20-30
1316,1317,Karl-Anthony Towns,21-101,C-F,2/24/17,MIN,DAL,1,39,12,18,0.667,12,18,0.667,0,0,,2,3,0.667,4,14,18,3,1,0,7,1,26,20.5,20-30
1317,1318,Ricky Rubio,26-168,G,4/7/17,MIN,UTA,1,37,7,14,0.5,6,11,0.545,1,3,0.33299999999999996,11,11,1.0,0,3,3,12,0,0,3,3,26,24.1,20-30
1318,1319,James Harden,27-187,G,3/1/17,HOU,LAC,1,36,7,15,0.467,3,6,0.5,4,9,0.444,8,8,1.0,0,3,3,9,1,0,7,4,26,17.9,20-30
1319,1320,Brook Lopez,28-221,C,11/8/16,BRK,MIN,1,28,10,16,0.625,7,9,0.778,3,7,0.429,3,3,1.0,0,3,3,1,0,3,5,2,26,16.7,20-30
1320,1321,Paul George,26-193,F,11/11/16,IND,PHI,1,40,9,20,0.45,8,16,0.5,1,4,0.25,7,7,1.0,3,5,8,4,2,0,1,5,26,21.0,20-30
1321,1322,Isaiah Thomas,28-001,G,2/8/17,BOS,SAC,1,33,6,16,0.375,2,5,0.4,4,11,0.364,10,10,1.0,0,4,4,7,0,0,3,2,26,19.5,20-30
1322,1323,DeMar DeRozan,27-189,G,2/12/17,TOR,DET,1,38,10,21,0.47600000000000003,10,20,0.5,0,1,0.0,6,7,0.857,1,6,7,2,0,1,2,1,26,17.1,20-30
1323,1324,Kyrie Irving,24-356,G,3/14/17,CLE,DET,1,30,9,14,0.643,5,10,0.5,4,4,1.0,4,4,1.0,1,0,1,6,0,0,2,1,26,22.3,20-30
1324,1325,Jimmy Butler,27-202,G-F,4/4/17,CHI,NYK,1,40,9,18,0.5,8,15,0.5329999999999999,1,3,0.33299999999999996,7,9,0.778,1,2,3,4,1,2,3,4,26,18.1,20-30
1325,1326,Dennis Schroder,23-176,G,3/10/17,ATL,TOR,1,35,9,18,0.5,8,14,0.5710000000000001,1,4,0.25,7,8,0.875,1,5,6,5,0,0,4,0,26,18.3,20-30
1326,1327,Klay Thompson,26-299,G,12/3/16,GSW,PHO,1,34,10,17,0.588,4,10,0.4,6,7,0.857,0,0,,1,4,5,3,2,1,2,1,26,22.4,20-30
1327,1328,DeMarcus Cousins,26-140,C-F,12/31/16,SAC,MEM,1,38,7,18,0.389,7,15,0.467,0,3,0.0,12,13,0.9229999999999999,2,2,4,8,5,0,5,4,26,21.8,20-30
1328,1329,Rodney Hood,24-005,G-F,10/25/16,UTA,POR,1,38,9,17,0.529,6,10,0.6,3,7,0.429,5,5,1.0,0,2,2,1,2,1,0,3,26,20.5,20-30
1329,1330,Paul Millsap,31-324,F,12/30/16,ATL,DET,1,37,9,20,0.45,8,16,0.5,1,4,0.25,7,8,0.875,3,3,6,5,2,0,3,3,26,19.5,20-30
1330,1331,Carmelo Anthony,32-253,F,2/6/17,NYK,LAL,1,37,10,17,0.588,10,15,0.667,0,2,0.0,6,8,0.75,0,3,3,5,1,0,4,3,26,17.5,20-30
1331,1332,Eric Gordon,27-348,G,12/7/16,HOU,LAL,0,24,9,13,0.6920000000000001,1,1,1.0,8,12,0.667,0,0,,0,4,4,2,0,0,2,1,26,20.7,20-30
1332,1333,Karl-Anthony Towns,21-147,C-F,4/11/17,MIN,OKC,1,40,10,20,0.5,8,14,0.5710000000000001,2,6,0.33299999999999996,4,4,1.0,4,8,12,1,1,0,1,2,26,21.1,20-30
1333,1334,Giannis Antetokounmpo,22-101,F-G,3/17/17,MIL,LAL,1,35,11,16,0.688,10,15,0.667,1,1,1.0,3,6,0.5,2,6,8,4,0,2,4,6,26,19.0,20-30
1334,1335,Brook Lopez,28-282,C,1/8/17,BRK,PHI,1,32,8,16,0.5,5,9,0.556,3,7,0.429,7,7,1.0,1,1,2,2,1,1,2,3,26,18.9,20-30
1335,1336,Darren Collison,29-157,G,1/27/17,SAC,IND,1,46,10,17,0.588,6,11,0.545,4,6,0.667,2,2,1.0,1,3,4,5,3,0,3,3,26,22.0,20-30
1336,1337,Kentavious Caldwell-Pope,23-325,G,1/8/17,DET,POR,1,48,9,14,0.643,5,7,0.7140000000000001,4,7,0.5710000000000001,4,5,0.8,2,2,4,2,4,0,3,1,26,23.4,20-30
1337,1338,Myles Turner,20-266,F-C,12/15/16,IND,NOP,1,30,11,14,0.7859999999999999,11,14,0.7859999999999999,0,0,,4,5,0.8,2,6,8,1,0,1,0,5,26,22.8,20-30
1338,1339,Avery Bradley,25-343,G,11/3/16,BOS,CLE,1,39,11,20,0.55,9,14,0.643,2,6,0.33299999999999996,2,2,1.0,1,9,10,2,1,0,3,2,26,18.4,20-30
