GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,33,13,24,6,10,7,14,8,9,0,2,2,3,2,1,1,2,41,32.6
1,39,12,16,6,9,6,7,11,11,1,8,9,7,0,0,4,3,41,37.4
1,38,13,26,11,21,2,5,13,14,1,1,2,1,0,0,2,2,41,26.5
1,38,16,29,15,27,1,2,8,9,2,11,13,0,2,0,1,1,41,32
1,45,12,27,9,19,3,8,14,15,2,4,6,7,2,0,3,3,41,31.8
1,39,10,23,5,11,5,12,16,21,2,6,8,8,4,0,4,3,41,34.5
1,38,13,20,8,11,5,9,10,14,1,6,7,15,1,0,1,3,41,42.4
1,38,11,24,4,10,7,14,11,14,1,14,15,10,0,0,4,3,40,33.1
1,38,13,22,9,14,4,8,10,11,0,3,3,10,0,0,5,2,40,31.5
1,34,17,27,17,25,0,2,6,6,1,3,4,1,1,0,6,1,40,24.8
1,42,15,25,13,17,2,8,8,10,0,4,4,2,1,0,1,3,40,29.1
1,38,15,26,13,22,2,4,8,11,1,3,4,2,2,0,1,2,40,29.8
0,32,11,20,7,12,4,8,14,14,0,2,2,1,2,0,2,0,40,31.7
1,36,14,25,14,23,0,2,12,13,1,5,6,3,1,0,1,0,40,32
1,38,14,29,13,27,1,2,11,11,6,4,10,4,4,0,3,2,40,33.7
1,35,12,19,5,7,7,12,9,11,1,9,10,7,0,0,1,2,40,37.2
1,38,11,26,8,22,3,4,15,20,2,7,9,4,1,0,3,1,40,28.1
1,40,13,22,9,14,4,8,10,10,2,2,4,3,3,0,1,0,40,35.9
1,29,14,22,13,21,1,1,11,12,4,14,18,2,0,3,0,2,40,39.5
1,32,12,20,4,8,8,12,8,8,4,4,8,3,1,1,1,2,40,36.8
1,34,13,16,8,9,5,7,9,10,2,10,12,4,0,3,2,2,40,40.1
1,29,9,17,1,2,8,15,14,16,1,5,6,8,0,0,8,2,40,29.9
1,37,17,23,15,20,2,3,4,5,4,5,9,5,2,0,2,2,40,37.3
1,40,14,23,14,22,0,1,12,14,4,3,7,6,1,0,1,1,40,36.2
1,38,13,26,9,17,4,9,10,10,3,7,10,11,2,2,10,3,40,31.1
1,42,15,27,10,14,5,13,5,5,0,3,3,6,1,1,4,2,40,29.1
1,39,12,30,8,15,4,15,12,13,1,11,12,10,2,0,6,3,40,29.2
1,36,14,31,7,16,7,15,5,5,1,12,13,10,2,0,8,1,40,28.8
1,41,14,22,7,10,7,12,5,7,0,2,2,6,2,0,1,2,40,34.4
1,37,11,23,8,15,3,8,15,17,0,10,10,10,2,0,8,3,40,30.3
1,38,13,21,8,14,5,7,9,9,0,7,7,11,0,0,2,4,40,36.7
1,39,13,21,6,9,7,12,7,7,0,6,6,2,1,0,2,5,40,30.7
1,41,17,22,16,20,1,2,5,8,3,18,21,4,1,1,3,3,40,38
1,37,14,23,13,21,1,2,11,16,1,4,5,5,2,0,1,3,40,32.7
1,36,13,24,11,17,2,7,12,19,2,10,12,8,2,1,6,2,40,31.5
1,42,11,17,7,10,4,7,14,14,0,6,6,13,0,0,4,3,40,38.2
1,31,15,24,8,13,7,11,2,3,1,6,7,1,0,1,2,3,39,28.5
1,30,14,20,3,5,11,15,0,0,1,4,5,8,3,0,1,2,39,39.3
